---config@码表分类=主码-4
---config@允许编辑=是
---config@码表别名=低频简词
以后	yihb#序65000
思盼	sipj#序65000
私盘	sipj#序65000
肆扰	sirk#序65000
丝锥	sivv#序65000
四爪	sivk#序65000
锁母	somu#序65000
苏别	subx#序65000
速补	subu#序65000
宿儒	suru#序65000
素装	suvd#序65000
速转	suvr#序65000
素组	suzu#序65000
虽非	svfz#序65000
虽属	svuu#序65000
碎玉	svyu#序65000
搜款	sbkr#序65000
塔釜	tafu#序65000
塔座	tazo#序65000
逃单	tkdj#序65000
陶冬	tkds#序65000
套框	tkkd#序65000
套门	tkmf#序65000
陶庙	tkmc#序65000
套碗	tkwj#序65000
苔草	tlck#序65000
太傅	tlfu#序65000
太铁	tltx#序65000
泰岳	tlyt#序65000
特接	tejx#序65000
傥荡	thdh#序65000
糖糕	thgk#序65000
膛线	thxm#序65000
唐洋	thyh#序65000
体敏	timn#序65000
提品	tipn#序65000
体术	tiuu#序65000
碳棒	tjbh#序65000
坦度	tjdu#序65000
炭疽	tjju#序65000
炭块	tjky#序65000
痰桶	tjts#序65000
谭旭	tjxu#序65000
滩羊	tjyh#序65000
廷尉	tywz#序65000
天草	tmck#序65000
填的	tmde#序65000
调招	dcvk#序65000
调药	dcyk#序65000
脱模	tomo#序65000
脱坡	topo#序65000
妥投	totb#序65000
脱宅	tovl#序65000
托幼	toyb#序65000
贴袋	txdl#序65000
团的	trde#序65000
团主	trvu#序65000
铜带	tsdl#序65000
同盾	tsdp#序65000
童帽	tsmk#序65000
同色	tsse#序65000
铜套	tstk#序65000
图档	tudh#序65000
凸焊	tuhj#序65000
图传	tuir#序65000
腿根	tvgf#序65000
纱剪	uajm#序65000
沙泉	uaqr#序65000
啥书	uauu#序65000
沙箱	uaxd#序65000
砂银	uayn#序65000
稍粗	ukcu#序65000
烧毛	ukmk#序65000
少哦	ukoo#序65000
烧灼	ukvo#序65000
筛窦	uldb#序65000
蛇盾	uedp#序65000
社饭	uefj#序65000
蛇魔	uemo#序65000
神队	ufdv#序65000
深恶	ufee#序65000
神池	ufii#序65000
神裤	ufku#序65000
神罗	uflo#序65000
神怒	ufnu#序65000
申瓯	ufou#序65000
沈朴	ufpu#序65000
生晒	ugul#序65000
盛顺	ugup#序65000
上号	uhhk#序65000
上啦	uhla#序65000
尚轩	uhxr#序65000
试单	uidj#序65000
是定	uidy#序65000
是都	uidb#序65000
实卡	uika#序65000
食梦	uimg#序65000
石脑	uink#序65000
狮跑	uipk#序65000
食盆	uipf#序65000
失准	uivp#序65000
室早	uizk#序65000
闪白	ujbl#序65000
删的	ujde#序65000
山姥	ujlk#序65000
扇娘	ujnd#序65000
闪拍	ujpl#序65000
山桃	ujtk#序65000
删汰	ujtl#序65000
摔烂	uylj#序65000
爽呆	uddl#序65000
双碟	uddx#序65000
双银	udyn#序65000
硕博	uobo#序65000
朔夜	uoye#序65000
书案	uuan#序65000
熟谙	uuan#序65000
输定	uudy#序65000
疏港	uugh#序65000
疏狂	uukd#序65000
疏略	uult#序65000
暑热	uure#序65000
顺科	upke#序65000
顺排	uppl#序65000
收枰	ubpy#序65000
首屏	ubpy#序65000
炸矿	vakd#序65000
乍莱	vall#序65000
扎枪	vaqd#序65000
昭苏	vksu#序65000
招赘	vkvv#序65000
翟敏	dimn#序65000
翟山	diuj#序65000
遮藏	vech#序65000
柘木	vemu#序65000
遮体	veti#序65000
这坨	veto#序65000
这盏	vevj#序65000
榛莽	vfmh#序65000
镇泰	vftl#序65000
珍兽	vfub#序65000
真照	vfvk#序65000
真瞎	vfxw#序65000
真阴	vfyn#序65000
正藏	vgch#序65000
郑宅	vgvl#序65000
张菊	vhju#序65000
章句	vhju#序65000
张鸥	vhou#序65000
章区	vhqu#序65000
职别	vibx#序65000
植萃	vicv#序65000
之地	vidi#序65000
纸抽	viib#序65000
治具	viju#序65000
直快	viky#序65000
止口	vikb#序65000
知啦	vila#序65000
值么	vime#序65000
支模	vimo#序65000
质素	visu#序65000
支腿	vitv#序65000
治脏	vizh#序65000
直钻	vizr#序65000
斩仓	vjch#序65000
粘牢	vjlk#序65000
蘸满	vjmj#序65000
斩妖	vjyk#序65000
浊度	vodu#序65000
卓航	vohh#序65000
卓敏	vomn#序65000
灼目	vomu#序65000
卓欧	voou#序65000
桌山	vouj#序65000
转图	vrtu#序65000
专务	vrwu#序65000
中萃	vscv#序65000
中瑞	vsrv#序65000
铸错	vuco#序65000
主调	vudc#序65000
竹雕	vudc#序65000
柱廊	vulh#序65000
主脉	vuml#序65000
主麦	vuml#序65000
住么	vume#序65000
烛魔	vumo#序65000
周鼎	vbdy#序65000
周更	vbgg#序65000
周闯	vbid#序65000
文编	wfbm#序65000
问毛	wfmk#序65000
问么	wfme#序65000
纹面	wfmm#序65000
翁杰	wgjx#序65000
万灯	wjdg#序65000
万腾	wjtg#序65000
弯腿	wjtv#序65000
玩谁	wjuv#序65000
沃肥	wofz#序65000
沃品	wopn#序65000
无挂	wugw#序65000
五怕	wupa#序65000
乌篷	wupg#序65000
无渣	wuva#序65000
微耕	wzgg#序65000
魏恒	wzhg#序65000
萎蔫	wznm#序65000
违拗	wzao#序65000
魏琴	wzqn#序65000
未税	wzuv#序65000
喂哟	wzyo#序65000
新娟	xnjr#序65000
辛烷	xnwj#序65000
铣刀	xidk#序65000
洗的	xide#序65000
嶍峨	xiee#序65000
吸潮	xiik#序65000
铣床	xiid#序65000
西坑	xikg#序65000
系么	xime#序65000
铣刨	xipk#序65000
西撇	xipx#序65000
熙然	xirj#序65000
西秀	xixq#序65000
兴科	xyke#序65000
星狂	xykd#序65000
邢鲲	xykp#序65000
星怒	xynu#序65000
兴腾	xytg#序65000
星霜	xyud#序65000
省悟	xywu#序65000
想抄	xdik#序65000
向平	xdpy#序65000
先鞭	xmbm#序65000
闲呢	xmne#序65000
仙男	xmnj#序65000
嫌难	xmnj#序65000
现铺	xmpu#序65000
线切	xmqx#序65000
仙穹	xmqs#序65000
鲜叶	xmye#序65000
小聂	xcnx#序65000
小哦	xcoo#序65000
萧索	xcso#序65000
小拽	xcvy#序65000
小左	xczo#序65000
写单	xxdj#序65000
写反	xxfj#序65000
亵裤	xxku#序65000
鞋库	xxku#序65000
歇宿	xxsu#序65000
秀逸	xqyi#序65000
玄蛤	xrha#序65000
玄晶	xrjy#序65000
玄宁	xrny#序65000
旋切	xrqx#序65000
旋梭	xrso#序65000
玄影	xryy#序65000
熊岛	xsdk#序65000
雪狗	xtgb#序65000
虚淮	xuhy#序65000
许默	xumo#序65000
需索	xuso#序65000
旭泰	xutl#序65000
续页	xuye#序65000
下号	xwhk#序65000
瞎看	xwkj#序65000
训词	xpci#序65000
训读	xpdu#序65000
巡洋	xpyh#序65000
荀彧	xpyu#序65000
训喻	xpyu#序65000
崖柏	yabl#序65000
雅畈	yafj#序65000
压疮	yaid#序65000
压块	yaky#序65000
亚青	yaqy#序65000
亚帅	yauy#序65000
雅莹	yayy#序65000
音段	yndr#序65000
引柴	ynil#序65000
银钗	ynil#序65000
阴亏	ynkv#序65000
银罗	ynlo#序65000
隐裂	ynlx#序65000
银呢	ynne#序65000
腰粗	ykcu#序65000
药娘	yknd#序65000
腰袢	ykpj#序65000
也饿	yeee#序65000
也卡	yeka#序65000
也哭	yeku#序65000
也亏	yekv#序65000
也么	yeme#序65000
洋荤	yhhp#序65000
样块	yhky#序65000
央请	yhqy#序65000
养阴	yhyn#序65000
癔病	yiby#序65000
刈草	yick#序65000
怡翠	yicv#序65000
已坏	yihy#序65000
易瑞	yirv#序65000
义赛	yisl#序65000
伊赛	yisl#序65000
移速	yisu#序65000
一弹	yidj#序65000
雁荡	yjdh#序65000
雁行	yjhh#序65000
掩码	yjma#序65000
眼盲	yjmh#序65000
延烧	yjuk#序65000
衍射	yjue#序65000
莹草	yyck#序65000
英嘎	yyga#序65000
硬闯	yyid#序65000
英敏	yymn#序65000
英年	yynm#序65000
应诊	yyvf#序65000
袁斌	yrbn#序65000
远侧	yrce#序65000
圆的	yrde#序65000
员额	yree#序65000
袁科	yrke#序65000
援款	yrkr#序65000
远特	yrte#序65000
远藤	yrtg#序65000
原帖	yrtx#序65000
永凯	yskl#序65000
约么	ytme#序65000
越苏	ytsu#序65000
雨崩	yubg#序65000
余毒	yudu#序65000
预读	yudu#序65000
遇怪	yugy#序65000
预考	yukk#序65000
鱼拓	yuto#序65000
玉藻	yuzk#序65000
预早	yuzk#序65000
云翠	ypcv#序65000
云科	ypke#序65000
云内	ypnz#序65000
愠色	ypse#序65000
云毯	yptj#序65000
云亭	ypty#序65000
云总	ypzs#序65000
有啦	ybla#序65000
右盆	ybpf#序65000
幽若	ybro#序65000
杂件	zajm#序65000
咱团	zjtr#序65000
咋删	zauj#序65000
早吃	zkii#序65000
再扔	zlrg#序65000
曾波	cgbo#序65000
紫冰	ziby#序65000
自婚	zihp#序65000
子类	zilz#序65000
自雷	zilz#序65000
自准	zivp#序65000
梓州	zivb#序65000
赞呢	zjne#序65000
赞我	zjwo#序65000
左幅	zofu#序65000
最与	zvyu#序65000
罪域	zvyu#序65000
走么	zbme#序65000
邹颖	zbyy#序65000
即科	jike#序65000
姜迪	jddi#序65000
何鸾	helr#序65000
孟简	mgjm#序65000
帝盥	digr#序65000
陶翰	tkhj#序65000
戎浑	rshp#序65000
杨濬	yhjp#序65000
庾抱	yubk#序65000
诗式	uiui#序65000
怨情	yrqy#序65000
张垍	vhji#序65000
尹懋	ynmk#序65000
李咸	lixm#序65000
陆坚	lujm#序65000
崔沔	cvmm#序65000
胡皓	huhk#序65000
失题	uiti#序65000
薛业	xtye#序65000
杨浚	yhjp#序65000
疲马	pima#序65000
呈易	igyi#序65000
寄包	jibk#序65000
感梦	gjmg#序65000
幽情	ybqy#序65000
李岘	lixm#序65000
自悼	zidk#序65000
寄陶	jitk#序65000
顾陶	gutk#序65000
泛江	fjjd#序65000
秋清	qqqy#序65000
向夕	xdxi#序65000
之芳	vifh#序65000
戏鸥	xiou#序65000
咸池	xmii#序65000
初祀	iusi#序65000
贾躭	jwdj#序65000
馀姚	yuyk#序65000
张莒	vhju#序65000
秦镜	qnjy#序65000
宿别	subx#序65000
何兆	hevk#序65000
奚贾	xijw#序65000
玉屑	yuxx#序65000
若昭	rovk#序65000
古谣	guyk#序65000
朱彬	vubn#序65000
箭发	jmfa#序65000
张署	vhuu#序65000
徐敞	xuih#序65000
迟字	iizi#序65000
暴薨	bkhs#序65000
左辅	zofu#序65000
已而	yier#序65000
卢储	luiu#序65000
闲怨	xmyr#序65000
赋花	fuhw#序65000
龟铭	gvmy#序65000
谣俗	yksu#序65000
野哭	yeku#序65000
遣病	qmby#序65000
寄昙	jitj#序65000
忽耶	huye#序65000
有耶	ybye#序65000
必搜	bisb#序65000
寄严	jiyj#序65000
池窗	iiid#序65000
继和	jihe#序65000
戒药	jxyk#序65000
闲眠	xmmm#序65000
韦式	wzui#序65000
二猿	eryr#序65000
寄归	jigv#序65000
朱坡	vupo#序65000
旅宿	lvsu#序65000
曲池	quii#序65000
晓坐	xczo#序65000
井络	jylo#序65000
嘲桃	iktk#序65000
浴马	yuma#序65000
严恽	yjyp#序65000
张鹭	vhlu#序65000
戈牢	gelk#序65000
戏舸	xige#序65000
李质	livi#序65000
吾道	wudk#序65000
送路	sslu#序65000
李郢	liyy#序65000
二怨	eryr#序65000
一愁	yiib#序65000
一情	yiqy#序65000
武瓘	wugr#序65000
箕山	jiuj#序65000
屈祠	quci#序65000
写怀	xxhy#序65000
李骘	livi#序65000
渔梁	yuld#序65000
鱼梁	yuld#序65000
迎真	yyvf#序65000
李縠	lihu#序65000
淅上	xiuh#序65000
论交	lpjc#序65000
喻道	yudk#序65000
居延	juyj#序65000
轵道	vidk#序65000
岘山	xmuj#序65000
倚棹	yivk#序65000
莺声	yyug#序65000
苇丛	wzcs#序65000
楚思	iusi#序65000
移莎	yiua#序65000
咏猿	ysyr#序65000
欲明	yumy#序65000
使风	uifg#序65000
楚事	iuui#序65000
豫让	yurh#序65000
陆翱	luao#序65000
张曙	vhuu#序65000
张蠙	vhpn#序65000
叙怀	xuhy#序65000
颂鲁	sslu#序65000
于邺	yuye#序65000
萧项	xcxd#序65000
又吟	ybyn#序65000
智伯	vibo#序65000
长屋	vhwu#序65000
许鼎	xudy#序65000
嘉莲	jwlm#序65000
庭苇	tywz#序65000
徐锴	xukl#序65000
秋残	qqcj#序65000
李祜	lihu#序65000
吴圆	wuyr#序65000
卢注	luvu#序65000
裴延	pzyj#序65000
宋雍	ssys#序65000
裴瑶	pzyk#序65000
谢邈	xxmc#序65000
熊曜	xsyk#序65000
朱晦	vuhv#序65000
柳淡	lqdj#序65000
卢藻	luzk#序65000
送兄	ssxs#序65000
史凤	uifg#序65000
酥乳	suru#序65000
慧净	hvjy#序65000
义净	yijy#序65000
理莹	liyy#序65000
禅诗	ijui#序65000
元孚	yrfu#序65000
水鹤	uvhe#序65000
观烧	gruk#序65000
昙域	tjyu#序65000
处默	iumo#序65000
织妇	vifu#序65000
寄鱼	jiyu#序65000
希道	xidk#序65000
眉娘	mznd#序65000
陆凭	lupy#序65000
尉佗	wzto#序65000
甄后	vfhb#序65000
嘲父	ikfu#序65000
仙客	xmke#序65000
续谣	xuyk#序65000
钱信	qmxn#序65000
举棹	juvk#序65000
声促	ugcu#序65000
无考	wukk#序65000
曲亭	quty#序65000
清观	qygr#序65000
傅温	fuwf#序65000
汉皓	hjhk#序65000
灵业	lyye#序65000
张藉	vhji#序65000
哀苦	aiku#序65000
笆篓	balb#序65000
罢讼	bass#序65000
宝重	bkvs#序65000
暴病	bkby#序65000
暴卒	bkzu#序65000
悲号	bzhk#序65000
贝书	bzuu#序65000
备述	bzuu#序65000
笔受	biub#序65000
笔削	bixt#序65000
碧血	bixt#序65000
壁布	bibu#序65000
臂助	bivu#序65000
萹豆	bmdb#序65000
稨豆	bmdb#序65000
藊豆	bmdb#序65000
病笃	bydu#序65000
病候	byhb#序65000
帛书	bouu#序65000
卟吩	buff#序65000
步测	buce#序65000
参劾	cjhe#序65000
草昧	ckmz#序65000
查截	iajx#序65000
柴鸡	ilji#序65000
巉岩	ijyj#序65000
厂纪	ihji#序65000
超俗	iksu#序65000
巢窟	ikku#序65000
尘烟	ifyj#序65000
陈腐	iffu#序65000
成议	igyi#序65000
承题	igti#序65000
惩艾	igyi#序65000
逞性	igxy#序65000
秤花	ighw#序65000
秤星	igxy#序65000
池盐	iiyj#序65000
弛懈	iixx#序65000
驰目	iimu#序65000
匙子	iizi#序65000
翅子	iizi#序65000
敕造	iizk#序65000
冲犯	isfj#序65000
漴漴	vdvd#序65000
出继	iuji#序65000
出仕	iuui#序65000
刍秣	iumo#序65000
厨司	iusi#序65000
雏妓	iuji#序65000
处士	iuui#序65000
础石	iuui#序65000
储积	iuji#序65000
怵场	iuih#序65000
触机	iuji#序65000
憷场	iuih#序65000
串气	irqi#序65000
镩子	crzi#序65000
攒集	crji#序65000
褡包	dabk#序65000
打道	dadk#序65000
大鸨	dabk#序65000
胆壮	djvd#序65000
倒噍	dkjc#序65000
倒嚼	dkjc#序65000
倒序	dkxu#序65000
澄沙	dgua#序65000
堤堰	diyj#序65000
敌焰	diyj#序65000
抵补	dibu#序65000
地𬷕	dibu#序65000
谛听	dity#序65000
东床	dsid#序65000
兜肚	dbdu#序65000
斗富	dbfu#序65000
笃爱	duai#序65000
驮子	tozi#序65000
发怔	favg#序65000
藩屏	fjpy#序65000
烦神	fjuf#序65000
放赈	fhvf#序65000
费难	fznj#序65000
封镜	fgjy#序65000
峰巅	fgdm#序65000
唪经	fgjy#序65000
敷陈	fuif#序65000
拂尘	fuif#序65000
浮财	fucl#序65000
浮滑	fuhw#序65000
辐凑	fucb#序65000
蝠鲼	fuff#序65000
讣文	fuwf#序65000
讣闻	fuwf#序65000
负案	fuan#序65000
复评	fupy#序65000
复胃	fuwz#序65000
傅粉	fuff#序65000
腹案	fuan#序65000
刚介	ghjx#序65000
槁木	gkmu#序65000
圪𫭼	gelk#序65000
屹㟷	yida#序65000
更阑	gglj#序65000
汩没	gumo#序65000
馉饳	gudo#序65000
鼓膜	gumo#序65000
榾柮	gudo#序65000
故书	guuu#序65000
官倒	grdk#序65000
龟板	gvbj#序65000
诡怪	gvgy#序65000
过秤	goig#序65000
过淋	goln#序65000
旱道	hjdk#序65000
旱稻	hjdk#序65000
号哭	hkku#序65000
哄动	hsds#序65000
烘笼	hsls#序65000
哄逗	hsdb#序65000
后步	hbbu#序65000
呼蚩	huii#序65000
护持	huii#序65000
花药	hwyk#序65000
化募	hwmu#序65000
画符	hwfu#序65000
谎花	hdhw#序65000
谎价	hdjw#序65000
回戏	hvxi#序65000
会钞	hvik#序65000
会衔	hvxm#序65000
浑仪	hpyi#序65000
火刀	hodk#序65000
饥色	jise#序65000
机谋	jimb#序65000
积郁	jiyu#序65000
基干	jigj#序65000
缉获	jiho#序65000
稽延	jiyj#序65000
激切	jiqx#序65000
羁旅	jilv#序65000
汲引	jiyn#序65000
即或	jiho#序65000
急骤	jivb#序65000
棘爪	jivk#序65000
集部	jibu#序65000
集解	jijx#序65000
集刊	jikj#序65000
蕺菜	jicl#序65000
忌克	jike#序65000
忌刻	jike#序65000
忌语	jiyu#序65000
寄名	jimy#序65000
寄寓	jiyu#序65000
寂然	jirj#序65000
夹具	jwju#序65000
家蚕	jwcj#序65000
甲部	jwbu#序65000
驾凌	jwly#序65000
戋戋	jmjm#序65000
兼课	jmke#序65000
检获	jmho#序65000
减磅	jmbh#序65000
剪报	jmbk#序65000
间伐	jmfa#序65000
𬣡𬣡	jmjm#序65000
剑麻	jmma#序65000
渐次	jmci#序65000
茳芏	jddu#序65000
娇养	jcyh#序65000
胶结	jcjx#序65000
铰刀	jcdk#序65000
铰接	jcjx#序65000
矫命	jcmy#序65000
校样	jcyh#序65000
教范	jcfj#序65000
戒刀	jxdk#序65000
界尺	jxii#序65000
金疮	jnid#序65000
禁律	jnlv#序65000
敬称	jyig#序65000
敬服	jyfu#序65000
究办	jqbj#序65000
举告	jugk#序65000
举隅	juyu#序65000
聚赌	judu#序65000
侃儿	kjer#序65000
亢旱	khhj#序65000
科处	keiu#序65000
岚烟	ljyj#序65000
谰言	ljyj#序65000
朗生	lhug#序65000
立户	lihu#序65000
利钝	lidp#序65000
连袂	lmmz#序65000
练达	lmda#序65000
炼字	lmzi#序65000
僚属	lcuu#序65000
灵童	lyts#序65000
留聘	lqpn#序65000
六书	lquu#序65000
噜苏	lusu#序65000
垆坶	lumu#序65000
卤素	lusu#序65000
掳夺	ludo#序65000
陆稻	ludk#序65000
琭琭	lulu#序65000
路检	lujm#序65000
辘辘	lulu#序65000
䍡𦌊	lusu#序65000
簏簌	lusu#序65000
菉豆	ludb#序65000
罗纹	lowf#序65000
落槽	lock#序65000
麻渣	mava#序65000
蔓菁	mjjy#序65000
满拧	mjny#序65000
毛窝	mkwo#序65000
卯榫	mksp#序65000
煤末	mzmo#序65000
猛可	mgke#序65000
摸奖	mojd#序65000
摸哨	mouk#序65000
摹状	movd#序65000
木简	mujm#序65000
目见	mujm#序65000
纳聘	napn#序65000
碾坊	nmfh#序65000
碾房	nmfh#序65000
爬梳	pauu#序65000
掱手	paub#序65000
披拂	pifu#序65000
辟头	pitb#序65000
皮傅	pifu#序65000
皮库	piku#序65000
芘芣	pifu#序65000
蚍蜉	pifu#序65000
匹头	pitb#序65000
譬喻	piyu#序65000
票箱	pcxd#序65000
平允	pyyp#序65000
歧出	qiiu#序65000
棋坛	qitj#序65000
蛴螬	qick#序65000
启碇	qidy#序65000
起岸	qian#序65000
起碇	qidy#序65000
𫈰草	qwck#序65000
铅灰	qmhv#序65000
铅印	qmyn#序65000
虔心	qmxn#序65000
浅儿	qmer#序65000
浅学	qmxt#序65000
枪刺	qdci#序65000
抢嘴	qdzv#序65000
俏卖	qcml#序65000
钦敬	qnjy#序65000
曲尺	quii#序65000
祛疑	quyi#序65000
趋时	quui#序65000
蘧然	qurj#序65000
去势	quui#序65000
趣话	quhw#序65000
劝驾	qrjw#序65000
𣭲毛	rsmk#序65000
锐敏	rvmn#序65000
伤号	uhhk#序65000
伤耗	uhhk#序65000
射影	ueyy#序65000
摄行	uexy#序65000
申斥	ufii#序65000
申饬	ufii#序65000
申敕	ufii#序65000
神驰	ufii#序65000
声强	ugqd#序65000
尸位	uiwz#序65000
失单	uidj#序65000
失闪	uiuj#序65000
失时	uiui#序65000
失笑	uixc#序65000
师事	uiui#序65000
施事	uiui#序65000
施威	uiwz#序65000
石担	uidj#序65000
时式	uiui#序65000
实事	uiui#序65000
实职	uivi#序65000
拾趣	uiqu#序65000
示指	uivi#序65000
势派	uipl#序65000
事端	uidr#序65000
事体	uiti#序65000
试销	uixc#序65000
视事	uiui#序65000
适销	uixc#序65000
适值	uivi#序65000
舐痔	uivi#序65000
誓师	uiui#序65000
受病	ubby#序65000
书牍	uudu#序65000
叔祖	uuzu#序65000
倏忽	uuhu#序65000
熟思	uusi#序65000
束装	uuvd#序65000
庶乎	uuhu#序65000
澌灭	simx#序65000
死产	siij#序65000
死节	sijx#序65000
俗讲	sujd#序65000
夙嫌	suxm#序65000
宿嫌	suxm#序65000
台甫	tlfu#序65000
叹赏	tjuh#序65000
蹚道	thdk#序65000
叨教	dkjc#序65000
韬晦	tkhv#序65000
逃汇	tkhv#序65000
套汇	tkhv#序65000
媞媞	uiui#序65000
题款	tikr#序65000
通名	tsmy#序65000
托子	tozi#序65000
砣子	tozi#序65000
哇喇	wala#序65000
婉和	wjhe#序65000
伪假	wzjw#序65000
伪托	wzto#序65000
未时	wzui#序65000
未始	wzui#序65000
慰勉	wzmm#序65000
稳便	wfbm#序65000
无援	wuyr#序65000
午报	wubk#序65000
物耗	wuhk#序65000
希罕	xihj#序65000
希少	xiuk#序65000
恓惶	xihd#序65000
舾装	xivd#序65000
翕然	xirj#序65000
锡匠	xijd#序65000
习染	xirj#序65000
习尚	xiuh#序65000
席篾	ximx#序65000
戏单	xidj#序65000
先哲	xmve#序65000
闲员	xmyr#序65000
贤哲	xmve#序65000
衔冤	xmyr#序65000
嫌怨	xmyr#序65000
乡井	xdjy#序65000
详明	xdmy#序65000
详悉	xdxi#序65000
消歇	xcxx#序65000
销铄	xcuo#序65000
销歇	xcxx#序65000
销行	xcxy#序65000
歇顶	xxdy#序65000
歇心	xxxn#序65000
邪心	xxxn#序65000
谢病	xxby#序65000
信据	xnju#序65000
醒木	xymu#序65000
修史	xqui#序65000
修士	xqui#序65000
圩场	xuih#序65000
徐缓	xuhr#序65000
獯鬻	xpyu#序65000
巡医	xpyi#序65000
训谕	xpyu#序65000
牙侩	yaky#序65000
妍媸	yjii#序65000
眼眵	yjii#序65000
唁函	yjhj#序65000
验秤	yjig#序65000
养兵	yhby#序65000
幺麽	ykmo#序65000
叶腋	yeye#序65000
一经	yijy#序65000
衣摆	yibl#序65000
移解	yijx#序65000
遗案	yian#序65000
遗民	yimn#序65000
颐龄	yily#序65000
疑兵	yiby#序65000
疑窦	yidb#序65000
蚁后	yihb#序65000
义项	yixd#序65000
艺龄	yily#序65000
忆想	yixd#序65000
议购	yigb#序65000
议销	yixc#序65000
异腈	yijy#序65000
异香	yixd#序65000
役龄	yily#序65000
译介	yijx#序65000
驿道	yidk#序65000
臆见	yijm#序65000
𬟁草	yick#序65000
阴平	ynpy#序65000
音强	ynqd#序65000
烟煴	yjyp#序65000
银圆	ynyr#序65000
夤缘	ynyr#序65000
隐括	ynko#序65000
颖果	yygo#序65000
硬面	yymm#序65000
幽咽	ybye#序65000
蚰蜒	ybyj#序65000
游兴	ybxy#序65000
有顷	ybqy#序65000
诱掖	ybye#序65000
鱼胶	yujc#序65000
艅艎	yuhd#序65000
羽缎	yudr#序65000
雨脚	yujc#序65000
窳惰	yudo#序65000
玉茭	yujc#序65000
吁求	yuqq#序65000
郁热	yure#序65000
浴罩	yuvk#序65000
预断	yudr#序65000
燠热	yure#序65000
鹬鸵	yuto#序65000
元恶	yree#序65000
元音	yryn#序65000
原诉	yrsu#序65000
远因	yryn#序65000
怨府	yrfu#序65000
匀停	ypty#序65000
凿凿	zkzk#序65000
早造	zkzk#序65000
慥慥	zkzk#序65000
彰示	vhui#序65000
仗恃	vhui#序65000
折箩	velo#序65000
朕兆	vfvk#序65000
正法	vgfa#序65000
正税	vguv#序65000
知单	vidj#序65000
知命	vimy#序65000
知友	viyb#序65000
脂油	viyb#序65000
执绋	vifu#序65000
执友	viyb#序65000
直性	vixy#序65000
侄妇	vifu#序65000
值星	vixy#序65000
纸型	vixy#序65000
指腹	vifu#序65000
枳椇	viju#序65000
质对	vidv#序65000
治服	vifu#序65000
肘腋	vbye#序65000
朱墨	vumo#序65000
主拍	vupl#序65000
主震	vuvf#序65000
著者	vuve#序65000
蛀齿	vuii#序65000
铸字	vuzi#序65000
自经	zijy#序65000
自刭	zijy#序65000
自警	zijy#序65000
自绝	zijt#序65000
字模	zimu#序65000
卒伍	zuwu#序65000
惨澹	cjdj#序65000
疯颠	fgdm#序65000
寄与	jiyu#序65000
简炼	jmlm#序65000
烂熳	ljmj#序65000
烂缦	ljmj#序65000
马劄	mava#序65000
鞦韆	qqqm#序65000
要末	ykmo#序65000
衣衿	yijn#序65000
新冠	xngr#序65000
简词	jmci#序65000
一简	yijm#序65000
潮涛	iktk#序65000
着陆	volu#序65000
转手	vrub#序65000
示爱	uiai#序65000
处事	iuui#序65000
遗精	yijy#序65000
哪科	nake#序65000
朗客	lhke#序65000
无暇	wuxw#序65000
纸袋	vidl#序65000
盘在	pjzl#序65000
可对	kedv#序65000
脐带	qidl#序65000
没挂	mzgw#序65000
时又	uiyb#序65000
长按	vhan#序65000
低噪	dizk#序65000
我输	wouu#序65000
叫姐	jcjx#序65000
水喝	uvhe#序65000
儿科	erke#序65000
家产	jwij#序65000
屠杀	tuua#序65000
牢骚	lksk#序65000
醒目	xymu#序65000
被烧	bzuk#序65000
吃下	iixw#序65000
他搞	tagk#序65000
红松	hsss#序65000
直行	vixy#序65000
被问	bzwf#序65000
甩出	uyiu#序65000
统考	tskk#序65000
质地	vidi#序65000
呼我	huwo#序65000
照到	vkdk#序65000
及到	jidk#序65000
艳萍	yjpy#序65000
一鸣	yimy#序65000
挥动	hvds#序65000
没辙	mzve#序65000
重叠	isdx#序65000
河面	hemm#序65000
区和	quhe#序65000
出击	iuji#序65000
张了	vhle#序65000
小洞	xcds#序65000
郁亮	yuld#序65000
去市	quui#序65000
主帅	vuuy#序65000
烧到	ukdk#序65000
紫荆	zijy#序65000
用开	yskl#序65000
竟成	jyig#序65000
招到	vkdk#序65000
风开	fgkl#序65000
火警	hojy#序65000
路遥	luyk#序65000
转而	vrer#序65000
锅巴	goba#序65000
里从	lics#序65000
益处	yiiu#序65000
代售	dlub#序65000
于大	yuda#序65000
急不	jibu#序65000
六对	lqdv#序65000
韩城	hjig#序65000
十好	uihk#序65000
数来	uull#序65000
沉浮	iffu#序65000
选定	xrdy#序65000
邳州	pivb#序65000
永泰	ystl#序65000
石狮	uiui#序65000
爆竹	bkvu#序65000
肠道	ihdk#序65000
斜着	xxve#序65000
原副	yrfu#序65000
四节	sijx#序65000
几朵	jido#序65000
十只	uivi#序65000
两袋	lddl#序65000
置地	vidi#序65000
唱下	ihxw#序65000
唐老	thlk#序65000
搏斗	bodb#序65000
静默	jymo#序65000
鬼怪	gvgy#序65000
宣讲	xrjd#序65000
蓝湾	ljwj#序65000
粉墙	ffqd#序65000
雨打	yuda#序65000
躺到	thdk#序65000
小男	xcnj#序65000
多待	dodl#序65000
亲爹	qndx#序65000
辞去	ciqu#序65000
闪退	ujtv#序65000
身来	ufll#序65000
毒气	duqi#序65000
写手	xxub#序65000
米店	midm#序65000
两碗	ldwj#序65000
