一万	yiwj
喝醉	hezv
喝问	hewf
喧哗	xrhx
喧嚣	xrxn
喧嚷	xrrh
喧闹	xrnc
喷出	pfiu
喷发	pffa
喷嘴	pfzv
喷嚏	pfti
喷墨	pfmo
喷头	pftz
喷射	pfue
喷气	pfqi
喷水	pfuv
喷泉	pfqr
喷洒	pfsa
喷涂	pftu
喷涌	pfys
喷溅	pfjm
喷灌	pfgr
喷火	pfho
喷绘	pfhv
喷药	pfyc
喷血	pfxt
喷饭	pffj
喷香	pfxl
喽啰	lzlo
嗅觉	xqjt
嗓子	shzi
嗓门	shmf
嗓音	shyb
嗔怪	ifgk
嗜好	uihc
嗜血	uixt
嗝屁	gepi
嗡嗡	wgwg
嗫嚅	npru
嗯哼	enhg
嗷嗷	aoao
嘈杂	ccza
嘉兴	jxxk
嘉奖	jxjl
嘉宾	jxbb
嘉许	jxxu
嘎吱	gavi
嘎嘎	gaga
嘎然	garj
嘘唏	xuxi
嘘声	xuug
嘟哝	duns
嘟嘟	dudu
嘟嘴	duzv
嘟囔	dunh
嘱咐	vufu
嘱托	vuto
嘲弄	icns
嘲笑	icxn
嘲讽	icfg
嘴上	zvuh
嘴刁	zvdn
嘴唇	zviy
嘴尖	zvjm
嘴巴	zvba
嘴甜	zvtm
嘴皮	zvpi
嘴硬	zvyk
嘴脸	zvlm
嘴角	zvjn
嘴软	zvrr
嘴边	zvbm
嘴里	zvli
嘴馋	zvij
嘶哑	siya
嘶喊	sihj
嘹亮	lnll
嘻嘻	xixi
嘿咻	hwxq
嘿嘿	hwhw
噎死	yesi
噘嘴	jtzv
噙着	qbve
器具	qiju
器官	qigr
器材	qicd
器械	qixp
器皿	qimb
噩梦	eemg
噩耗	eehc
噪声	zcug
噪音	zcyb
噱头	xttz
嚎啕	hctc
嚣张	xnvh
嚷嚷	rhrh
囊括	nhko
囊肿	nhvs
囚徒	qqtu
囚犯	qqfj
囚禁	qqjb
囚笼	qqls
囚车	qqie
四万	siwj
四个	sige
四五	siwu
四六	silq
四十	siui
四千	siqm
四周	sivz
四壁	sibi
四处	siiu
四天	sitm
四射	siue
四岁	sisv
四川	siir
四座	sizo
四方	sifh
四月	siyt
四次	sici
四海	sihd
四百	sibd
四肢	sivi
四轮	sily
四邻	silb
四面	simm
四顾	sigu
回事	hvui
回信	hvxb
回删	hvuj
回到	hvdc
回升	hvug
回单	hvdj
回去	hvqu
回合	hvhe
回味	hvww
回嘴	hvzv
回国	hvgo
回复	hvfu
回天	hvtm
回头	hvtz
回家	hvjx
回帖	hvtp
回应	hvyk
回廊	hvlh
回归	hvgv
回忆	hvyi
回想	hvxl
回扣	hvkz
回执	hvvi
回抽	hviz
回拨	hvbo
回收	hvuz
回放	hvfh
回教	hvjn
回敬	hvjk
回旋	hvxr
回族	hvzu
回春	hviy
回暖	hvnr
回望	hvwh
回来	hvld
回民	hvmb
回流	hvlq
回溯	hvsu
回滚	hvgy
回潮	hvic
回电	hvdm
回眸	hvmz
回礼	hvli
回禀	hvbk
回程	hvig
回稳	hvwf
回笼	hvls
回答	hvda
回绕	hvrc
回绝	hvjt
回航	hvhh
回荡	hvdh
回落	hvlo
回话	hvhx
回调	hvtn
回购	hvgz
回赠	hvzg
回车	hvie
回转	hvvr
回返	hvfj
回避	hvbi
回音	hvyb
回顾	hvgu
回馈	hvkv
因为	ybww
因故	ybgu
因果	ybgo
因此	ybci
因素	ybsu
因而	yber
因袭	ybxi
团伙	trho
团体	trti
团团	trtr
团圆	tryr
团委	trww
团结	trjp
团聚	trju
团购	trgz
团长	trvh
团队	trdv
囤积	tyji
囤货	tyho
囫囵	huly
园区	yrqu
园圃	yrpu
园林	yrlb
困乏	kyfa
困了	kyle
困住	kyvu
困倦	kyjr
困厄	kyee
困境	kyjk
困局	kyju
困惑	kyho
困扰	kyrc
困死	kysi
困窘	kyjs
困苦	kyku
困难	kynj
困顿	kydy
围剿	wwjn
围困	wwky
围城	wwig
围墙	wwql
围巾	wwjb
围拢	wwls
围攻	wwgs
围棋	wwqi
围着	wwve
围绕	wwrc
围裙	wwqy
围观	wwgr
固件	gujm
固体	guti
固化	guhx
固守	guuz
固定	gudk
固态	gutd
固执	guvi
固有	guyz
固然	gurj
国产	goij
国会	gohv
国债	govd
国共	gogs
国内	gonw
国别	gobp
国力	goli
国务	gowu
国名	gomk
国土	gotu
国境	gojk
国外	gowd
国学	goxt
国宝	gobc
国家	gojx
国宾	gobb
国庆	goqk
国库	goku
国有	goyz
国标	gobn
国歌	goge
国法	gofa
国王	gowh
国球	goqq
国画	gohx
国税	gouv
国策	goce
国粹	gocv
国耻	goii
国航	gohh
国色	gose
国药	goyc
国营	goyk
国葬	gozh
国货	goho
国贼	gozw
国运	goyy
国道	godc
国门	gomf
国防	gofh
国际	goji
国难	gonj
国魂	gohy
图上	tuuh
图个	tuge
图书	tuuu
图例	tuli
图像	tuxl
图册	tuce
图层	tucg
图库	tuku
图形	tuxk
图报	tubc
图文	tuwf
图标	tubn
图样	tuyh
图案	tuan
图片	tupm
图画	tuhx
图示	tuui
图章	tuvh
图纸	tuvi
图腾	tutg
图解	tujp
图谋	tumz
图谱	tupu
圆周	yrvz
圆圈	yrqr
圆孔	yrks
圆弧	yrhu
圆形	yrxk
圆心	yrxb
圆桌	yrvo
圆梦	yrmg
圆润	yrry
圆滑	yrhx
圆满	yrmj
圆点	yrdm
圆环	yrhr
圆球	yrqq
圆的	yrde
圆筒	yrts
圆脸	yrlm
圆规	yrgv
圆谎	yrhl
圆锥	yrvv
圆领	yrlk
圈养	jryh
圈内	qrnw
圈地	qrdi
圈外	qrwd
圈套	qrtc
圈子	qrzi
圈定	qrdk
圈钱	qrqm
土产	tuij
土匪	tufw
土地	tudi
土坯	tupi
土墩	tudy
土壤	turh
土建	tujm
土族	tuzu
土木	tumu
土炕	tukh
土葬	tuzh
土语	tuyu
土豆	tudz
土豪	tuhc
土货	tuho
土鳖	tubp
圣僧	ugsg
圣地	ugdi
圣坛	ugtj
圣恩	ugen
圣战	ugvj
圣洁	ugjp
圣经	ugjk
圣诞	ugdj
圣贤	ugxm
在上	zduh
在下	zdxx
在世	zdui
在乎	zdhu
在于	zdyu
在任	zdrf
在位	zdww
在内	zdnw
在册	zdce
在即	zdji
在吗	zdma
在哪	zdna
在场	zdih
在外	zdwd
在学	zdxt
在家	zdjx
在岗	zdgh
在座	zdzo
在意	zdyi
在押	zdya
在握	zdwo
在旁	zdph
在望	zdwh
在校	zdxn
在案	zdan
在理	zdli
在线	zdxm
在编	zdbm
在职	zdvi
在行	zdhh
在逃	zdtc
地上	diuh
地下	dixx
地主	divu
地产	diij
地位	diww
地区	diqu
地名	dimk
地图	ditu
地址	divi
地壳	diqn
地带	didd
地府	difu
地形	dixk
地方	difh
地板	dibj
地步	dibu
地段	didr
地毯	ditj
地沟	digz
地洞	dids
地点	didm
地牢	dilc
地狱	diyu
地球	diqq
地理	dili
地瓜	digx
地皮	dipi
地盘	dipj
地砖	divr
地税	diuv
地窖	dijn
地缘	diyr
地表	dibn
地貌	dimc
地道	didc
地铁	ditp
地铺	dipu
地雷	dilw
地震	divf
地面	dimm
场内	ihnw
场合	ihhe
场地	ihdi
场外	ihwd
场所	ihso
场景	ihjk
场次	ihci
场面	ihmm
场馆	ihgr
均价	jyjx
均分	jyff
均匀	jyyy
均可	jyke
均摊	jytj
均无	jywu
均有	jyyz
均未	jyww
均由	jyyz
均等	jydg
均系	jyxi
均线	jyxm
均能	jyng
均衡	jyhg
坍塌	tjta
坎坷	kjke
坏了	hkle
坏事	hkui
坏人	hkrf
坏坏	hkhk
坏处	hkiu
坏死	hksi
坏笑	hkxn
坏蛋	hkdj
坏话	hkhx
坏账	hkvh
坐上	zouh
坐下	zoxx
坐台	zotd
坐在	zozd
坐垫	zodm
坐姿	zozi
坐定	zodk
坐庄	zovl
坐支	zovi
坐标	zobn
坐满	zomj
坐牢	zolc
坐禅	zoij
坐等	zodg
坐船	zoir
坐落	zolo
坐车	zoie
坐镇	zovf
坐骑	zoqi
坑人	kgrf
坑害	kghd
坑洼	kgwa
坑爹	kgdp
坑蒙	kgmg
坑道	kgdc
坑骗	kgpm
块钱	kkqm
坚信	jmxb
坚决	jmjt
坚固	jmgu
坚守	jmuz
坚定	jmdk
坚强	jmql
坚持	jmii
坚挺	jmtk
坚硬	jmyk
坚贞	jmvf
坛友	tjyz
坟丘	ffqq
坟地	ffdi
坟墓	ffmu
坠入	vvru
坠地	vvdi
坠子	vvzi
坠机	vvji
坠楼	vvlz
坠海	vvhd
坠落	vvlo
坡度	podu
坡道	podc
坦克	tjke
坦然	tjrj
坦率	tjuk
坦白	tjbd
坦荡	tjdh
坦言	tjyj
坦诚	tjig
垂下	ivxx
垂体	ivti
垂危	ivww
垂暮	ivmu
垂柳	ivlq
垂死	ivsi
垂泪	ivlw
垂涎	ivxm
垂爱	ivai
垂直	ivvi
垂询	ivxy
垂钓	ivdn
垂青	ivqk
垂首	ivuz
垃圾	laji
垄断	lsdr
型号	xkhc
垒球	lwqq
垦荒	kfhl
垫付	dmfu
垫底	dmdi
垫支	dmvi
垫板	dmbj
垫款	dmkr
垫着	dmve
垫背	dmbw
垫脚	dmjn
垮台	kxtd
垮塌	kxta
埃及	aiji
埋下	mdxx
埋伏	mdfu
埋在	mdzd
埋头	mdtz
埋怨	mjyr
埋没	mdmo
埋葬	mdzh
埋藏	mdch
埋设	mdue
城下	igxx
城乡	igxl
城内	ignw
城区	igqu
城墙	igql
城外	igwd
城头	igtz
城市	igui
城府	igfu
城建	igjm
城池	igii
城管	iggr
城邦	igbh
城镇	igvf
城门	igmf
域名	yumk
培养	pwyh
培育	pwyu
培训	pwxy
基业	jiye
基准	jivy
基因	jiyb
基地	jidi
基层	jicg
基本	jibf
基础	jiiu
基调	jidn
基金	jijb
基隆	jils
堂兄	thxs
堂堂	thth
堂妹	thmw
堂姐	thjp
堂嫂	thsc
堂屋	thwu
堂弟	thdi
堂皇	thhl
堆叠	dvdp
堆满	dvmj
堆积	dvji
堕入	doru
堕胎	dotd
堕落	dolo
堡垒	bclw
堤岸	dian
堪忧	kjyz
堪比	kjbi
堵塞	duse
堵截	dujp
堵车	duie
塌方	tafh
塌陷	taxm
塑像	suxl
塑封	sufg
塑料	suln
塑胶	sujn
塑身	suuf
塑造	suzc
塔尖	tajm
塔顶	tadk
塞上	sduh
塞北	sdbw
塞外	sdwd
塞子	sdzi
塞满	sdmj
塞牙	sdya
塞给	sdgw
塞进	sdjb
填充	tmis
填入	tmru
填写	tmxp
填列	tmlp
填单	tmdj
填报	tmbc
填权	tmqr
填满	tmmj
填空	tmks
填补	tmbu
填表	tmbn
境内	jknw
境况	jkkl
境地	jkdi
境外	jkwd
境界	jkjp
墓园	muyr
墓碑	mubw
墓穴	muxt
墓葬	muzh
墙上	qluh
墙壁	qlbi
墙外	qlwd
墙头	qltz
墙根	qlgf
墙缝	qlfg
墙角	qljn
墙边	qlbm
墙面	qlmm
增产	zgij
增仓	zgch
增值	zgvi
增光	zggl
增兵	zgbk
增减	zgjm
增删	zguj
增加	zgjx
增发	zgfa
增多	zgdo
增大	zgda
增幅	zgfu
增强	zgql
增持	zgii
增援	zgyr
增收	zguz
增效	zgxn
增派	zgpd
增添	zgtm
增生	zgug
增白	zgbd
增肥	zgfw
增色	zgse
增补	zgbu
增设	zgue
增资	zgzi
增进	zgjb
增选	zgxr
增速	zgsu
增量	zgll
增长	zgvh
增高	zggc
墨宝	mobc
墨水	mouv
墨汁	movi
墨盒	mohe
墨粉	moff
墨绿	molv
墨镜	mojk
墨鱼	moyu
壁垒	bilw
壁柜	bigv
壁灯	bidg
壁球	biqq
壁纸	bivi
壕沟	hcgz
士兵	uibk
壮丽	vlli
壮举	vlju
壮大	vlda
壮年	vlnm
壮族	vlzu
壮汉	vlhj
壮烈	vllp
壮美	vlmw
壮胆	vldj
壮行	vlxk
壮观	vlgr
壮阳	vlyh
声乐	ugyt
声卡	ugka
声响	ugxl
声带	ugdd
声援	ugyr
声望	ugwh
声母	ugmu
声波	ugbo
声纳	ugna
声色	ugse
声言	ugyj
声讨	ugtc
声调	ugdn
声道	ugdc
声部	ugbu
声音	ugyb
声韵	ugyy
声频	ugpb
壶盖	hugd
处于	iuyu
处分	iuff
处在	iuzd
处处	iuiu
处女	iunv
处所	iuso
处暑	iuuu
处死	iusi
处理	iuli
处男	iunj
处置	iuvi
处长	iuvh
备份	bwff
备受	bwuz
备好	bwhc
备忘	bwwh
备有	bwyz
备查	bwia
备案	bwan
备注	bwvu
备用	bwys
备胎	bwtd
备选	bwxr
复习	fuxi
复仇	fuiz
复位	fuww
复兴	fuxk
复制	fuvi
复印	fuyb
复原	fuyr
复发	fufa
复古	fugu
复婚	fuhy
复审	fuuf
复方	fufh
复杂	fuza
复活	fuho
复生	fuug
复苏	fusu
复选	fuxr
夏侯	xxhz
夏天	xxtm
夏娃	xxwa
夏季	xxji
夏日	xxri
夏至	xxvi
夏装	xxvl
夕照	xivc
夕阳	xiyh
外事	wdui
外交	wdjn
外人	wdrf
外企	wdqi
外传	wdir
外传	wdvr
外侧	wdce
外债	wdvd
外公	wdgs
外出	wdiu
外力	wdli
外加	wdjx
外务	wdwu
外勤	wdqb
外包	wdbc
外卖	wdmd
外号	wdhc
外向	wdxl
外商	wduh
外因	wdyb
外围	wdww
外国	wdgo
外在	wdzd
外地	wddi
外墙	wdql
外头	wdtz
外套	wdtc
外婆	wdpo
外孙	wdsy
外宾	wdbb
外层	wdcg
外币	wdbi
外带	wddd
外延	wdyj
外形	wdxk
外心	wdxb
外快	wdkk
外患	wdhr
外扬	wdyh
外挂	wdgx
外接	wdjp
外援	wdyr
外文	wdwf
外方	wdfh
外族	wdzu
外景	wdjk
外来	wdld
外汇	wdhv
外泄	wdxp
外派	wdpd
外流	wdlq
外用	wdys
外界	wdjp
外省	wdug
外码	wdma
外科	wdke
外籍	wdji
外线	wdxm
外网	wdwh
外罩	wdvc
外置	wdvi
外行	wdhh
外衣	wdyi
外表	wdbn
外观	wdgr
外设	wdue
外语	wdyu
外调	wddn
外财	wdcd
外贸	wdmc
外资	wdzi
外边	wdbm
外运	wdyy
外部	wdbu
外销	wdxn
外长	wdvh
外间	wdjm
外需	wdxu
外露	wdlu
外面	wdmm
多个	doge
多久	dojq
多么	dome
多了	dole
多事	doui
多亏	dokv
多云	doyy
多产	doij
多人	dorf
多余	doyu
多元	doyr
多则	doze
多半	dobj
多变	dobm
多吃	doii
多名	domk
多哈	doha
多嘴	dozv
多坏	dohk
多处	doiu
多多	dodo
多大	doda
多头	dotz
多好	dohc
多家	dojx
多宽	dokr
多寡	dogx
多少	douc
多层	docg
多差	doia
多年	donm
多彩	docd
多心	doxb
多快	dokk
多情	doqk
多想	doxl
多慢	domj
多数	douu
多方	dofh
多日	dori
多晚	dowj
多月	doyt
多极	doji
多样	doyh
多梦	domg
多次	doci
多汁	dovi
多点	dodm
多用	doys
多疑	doyi
多种	dovs
多空	doks
多篇	dopm
多虑	dolv
多行	dohh
多见	dojm
多说	douo
多谢	doxp
多起	doqi
多选	doxr
多重	dois
多金	dojb
多长	doih
多问	dowf
多难	donj
多面	domm
多音	doyb
多高	dogc
夜光	yegl
夜叉	yeia
夜场	yeih
夜壶	yehu
夜大	yeda
夜宴	yeyj
夜宵	yexn
夜幕	yemu
夜归	yegv
夜晚	yewj
夜班	yebj
夜盲	yemh
夜空	yeks
夜色	yese
夜袭	yexi
夜里	yeli
夜间	yejm
够了	gzle
够受	gzuz
够呛	gzql
够多	gzdo
够好	gzhc
够忙	gzmh
够快	gzkk
够懒	gzlj
够本	gzbf
够狠	gzhf
够用	gzys
够胆	gzdj
够长	gzih
够高	gzgc
大专	davr
大事	daui
大亏	dakv
大亨	dahg
大人	darf
大仙	daxm
大众	davs
大会	dahv
大伯	dabo
大佛	dafo
大作	dazo
大佬	dalc
大修	daxq
大内	danw
大写	daxp
大军	dajy
大卖	damd
大厦	daua
大叔	dauu
大口	dakz
大名	damk
大吼	dahz
大哥	dage
大哭	daku
大喊	dahj
大喜	daxi
大嘴	dazv
大嚷	darh
大国	dago
大图	datu
大地	dadi
大型	daxk
大堂	dath
大增	dazg
大声	daug
大多	dado
大大	dada
大夫	ddfu
大头	datz
大奖	dajl
大好	dahc
大妈	dama
大娘	danl
大媒	damw
大学	daxt
大宗	dazs
大家	dajx
大小	daxn
大局	daju
大帅	dauk
大年	danm
大庆	daqk
大度	dadu
大忙	damh
大怒	danu
大患	dahr
大惊	dajk
大意	dayi
大战	davj
大户	dahu
大批	dapi
大把	daba
大搞	dagc
大方	dafh
大权	daqr
大桥	daqn
大楼	dalz
大概	dagd
大款	dakr
大步	dabu
大气	daqi
大河	dahe
大洋	dayh
大洲	davz
大浪	dalh
大海	dahd
大涨	davh
大火	daho
大炮	dapc
大爷	daye
大片	dapm
大王	dawh
大病	dabk
大盘	dapj
大碍	daai
大神	dauf
大笔	dabi
大米	dami
大红	dahs
大约	dayt
大纲	dagh
大绿	dalv
大考	dakc
大肠	daih
大胆	dadj
大脑	danc
大腕	dawj
大腿	datv
大臣	daif
大致	davi
大葱	dacs
大街	dajp
大褂	dagx
大话	dahx
大豆	dadz
大象	daxl
大赛	dasd
大赦	daue
大跌	dadp
大连	dalm
大选	daxr
大量	dall
大门	damf
大队	dadv
大陆	dalu
大院	dayr
大难	danj
大雁	dayj
大雨	dayu
大雾	dawu
大额	daee
大风	dafg
大餐	dacj
大鹏	dapg
大龄	dalk
天上	tmuh
天下	tmxx
天书	tmuu
天亮	tmll
天体	tmti
天使	tmui
天光	tmgl
天兵	tmbk
天冷	tmlg
天分	tmff
天台	tmtd
天哪	tmna
天啊	tmaa
天国	tmgo
天地	tmdi
天坛	tmtj
天堂	tmth
天外	tmwd
天大	tmda
天天	tmtm
天女	tmnv
天子	tmzi
天宫	tmgs
天寒	tmhj
天将	tmjl
天山	tmuj
天幕	tmmu
天干	tmgj
天平	tmpk
天年	tmnm
天庭	tmtk
天性	tmxk
天意	tmyi
天才	tmcd
天文	tmwf
天明	tmmk
天晴	tmqk
天朝	tmic
天条	tmtn
天桥	tmqn
天气	tmqi
天水	tmuv
天池	tmii
天河	tmhe
天津	tmjb
天涯	tmya
天灾	tmzd
天热	tmre
天然	tmrj
天猫	tmmc
天王	tmwh
天理	tmli
天生	tmug
天皇	tmhl
天真	tmvf
天神	tmuf
天秤	tmig
天空	tmks
天窗	tmil
天竺	tmvu
天籁	tmld
天线	tmxm
天罡	tmgh
天色	tmse
天花	tmhx
天葬	tmzh
天蓝	tmlj
天蝎	tmxp
天谴	tmqm
天赋	tmfu
天赐	tmci
天边	tmbm
天道	tmdc
天长	tmih
天门	tmmf
天际	tmji
天马	tmma
天骄	tmjn
天高	tmgc
天鹅	tmee
天黑	tmhw
天龙	tmls
太不	tdbu
太丑	tdiz
太久	tdjq
太乱	tdlr
太低	tddi
太傻	tdua
太公	tdgs
太冷	tdlg
太医	tdyi
太原	tdyr
太后	tdhz
太君	tdjy
太吵	tdic
太困	tdky
太坏	tdhk
太多	tddo
太大	tdda
太太	tdtd
太好	tdhc
太婆	tdpo
太子	tdzi
太宽	tdkr
太尉	tdww
太小	tdxn
太少	tduc
太岁	tdsv
太差	tdia
太平	tdpk
太广	tdgl
太弱	tdro
太强	tdql
太忙	tdmh
太快	tdkk
太惨	tdcj
太慢	tdmj
太懒	tdlj
太早	tdzc
太极	tdji
太深	tduf
太湖	tdhu
太烦	tdfj
太热	tdre
太爷	tdye
太狂	tdkl
太狠	tdhf
太监	tdjm
太短	tddr
太祖	tdzu
太穷	tdqs
太空	tdks
太窄	tdvd
太笨	tdbf
太粗	tdcu
太累	tdlw
太美	tdmw
太老	tdlc
太胖	tdph
太苦	tdku
太贵	tdgv
太近	tdjb
太远	tdyr
太迟	tdii
太重	tdvs
太长	tdih
太阳	tdyh
太阴	tdyb
太难	tdnj
太高	tdgc
太黑	tdhw
夫人	furf
夫君	fujy
夫妇	fufu
夫妻	fuqi
夭折	ycve
央求	yhqq
央行	yhhh
夯实	hhui
失业	uiye
失传	uiir
失信	uixb
失修	uixq
失准	uivy
失去	uiqu
失宠	uiis
失恋	uilm
失意	uiyi
失手	uiuz
失措	uico
失效	uixn
失敬	uijk
失望	uiwh
失灵	uilk
失眠	uimm
失神	uiuf
失窃	uiqp
失策	uice
失算	uisr
失聪	uics
失色	uise
失落	uilo
失衡	uihg
失误	uiwu
失调	uitn
失败	uibd
失踪	uizs
失陪	uipw
头上	tzuh
头像	tzxl
头发	tzfa
头号	tzhc
头大	tzda
头天	tztm
头套	tztc
头寸	tzcy
头尾	tzww
头屑	tzxp
头巾	tzjb
头彩	tzcd
头戴	tzdd
头昏	tzhy
头晕	tzyy
头条	tztn
头油	tzyz
头版	tzbj
头疼	tztg
头痛	tzts
头皮	tzpi
头目	tzmu
头等	tzdg
头绪	tzxu
头脑	tznc
头脸	tzlm
头衔	tzxm
头部	tzbu
头陀	tzto
头面	tzmm
头顶	tzdk
头领	tzlk
头颈	tzjk
头骨	tzgu
夸口	kxkz
夸大	kxda
夸奖	kxjl
夸张	kxvh
夸耀	kxyc
夸赞	kxzj
夹克	jxke
夹层	jxcg
夹带	jxdd
夹杂	jxza
夹生	jxug
夹着	jxve
夹缝	jxfg
夹菜	jxcd
夹袄	jxao
夺下	doxx
夺冠	dogr
夺取	doqu
夺回	dohv
夺得	dode
夺权	doqr
夺标	dobn
夺爱	doai
夺目	domu
夺走	dozz
奇偶	jiou
奇妙	qimn
奇幻	qihr
奇怪	qigk
奇效	qixn
奇特	qite
奇缺	qiqt
奇葩	qipa
奇谋	qimz
奇迹	qiji
奈何	ndhe
奉养	fgyh
奉劝	fgqr
奉告	fggc
奉命	fgmk
奉承	fgig
奉行	fgxk
奉赠	fgzg
奉还	fghr
奉送	fgss
奉陪	fgpw
奋勇	ffys
奋战	ffvj
奋斗	ffdz
奋进	ffjb
奏乐	zzyt
奏效	zzxn
奏明	zzmk
奏章	zzvh
奏请	zzqk
契丹	qidj
契合	qihe
契机	qiji
奔丧	bfsh
奔出	bfiu
奔放	bffh
奔波	bfbo
奔流	bflq
奔腾	bftg
奔走	bfzz
奔赴	bffu
奔跑	bfpc
奔逃	bftc
奔驰	bfii
奖励	jlli
奖品	jlpb
奖惩	jlig
奖牌	jlpd
奖状	jlvl
奖章	jlvh
奖赏	jluh
奖项	jlxl
套上	tcuh
套住	tcvu
套取	tcqu
套牢	tclc
套现	tcxm
套用	tcys
套着	tcve
套装	tcvl
套路	tclu
套间	tcjm
套餐	tccj
奚落	xilo
奠定	dmdk
奢侈	ueii
奢华	uehx
奢望	uewh
奢求	ueqq
奢谈	uetj
奢靡	uemi
奥义	aoyi
奥妙	aomn
奥数	aouu
奥秘	aomi
奥运	aoyy
奥迪	aodi
女人	nvrf
女仆	nvpu
女伴	nvbj
女佣	nvys
女侠	nvxx
女儿	nver
女兵	nvbk
女厕	nvce
女友	nvyz
女双	nvul
女士	nvui
女奴	nvnu
女妖	nvyc
女娃	nvwa
女婴	nvyk
女婿	nvxu
女子	nvzi
女孩	nvhd
女巫	nvwu
女性	nvxk
女排	nvpd
女方	nvfh
女权	nvqr
女流	nvlq
女王	nvwh
女生	nvug
女皇	nvhl
女眷	nvjr
女神	nvuf
女童	nvts
女篮	nvlj
女红	nvgs
女色	nvse
女装	nvvl
女警	nvjk
女足	nvzu
女郎	nvlh
奴仆	nupu
奴婢	nubi
奴役	nuyi
奴性	nuxk
奴才	nucd
奶嘴	ndzv
奶头	ndtz
奶奶	ndnd
奶妈	ndma
奶娘	ndnl
奶子	ndzi
奶昔	ndxi
奶水	nduv
奶油	ndyz
奶牛	ndnq
奶粉	ndff
奶糖	ndth
奶茶	ndia
奶酪	ndlc
奸佞	jmnk
奸商	jmuh
奸污	jmwu
奸淫	jmyb
奸细	jmxi
奸臣	jmif
奸诈	jmva
奸贼	jmzw
奸雄	jmxs
好丑	hciz
好久	hcjq
好乖	hcgk
好书	hcuu
好了	hcle
好事	hcui
好于	hcyu
好些	hcxp
好人	hcrf
好似	hcsi
好做	hczo
好像	hcxl
好冷	hclg
好凶	hcxs
好办	hcbj
好动	hcds
好友	hcyz
好受	hcuz
好吃	hcii
好吧	hcba
好听	hctk
好呀	hcya
好啊	hcaa
好啦	hcla
好喝	hche
好困	hcky
好在	hczd
好坏	hchk
好处	hciu
好多	hcdo
好大	hcda
好奇	hcqi
好好	hchc
好学	hcxt
好官	hcgr
好客	hcke
好少	hcuc
好巧	hcqn
好帖	hctp
好强	hcql
好心	hcxb
好忙	hcmh
好快	hckk
好怕	hcpa
好恶	hcee
好悬	hcxr
好惨	hccj
好惹	hcre
好意	hcyi
好感	hcgj
好慢	hcmj
好戏	hcxi
好战	hcvj
好报	hcbc
好文	hcwf
好斗	hcdz
好梦	hcmg
好棒	hcbh
好歹	hcdd
好比	hcbi
好汉	hchj
好点	hcdm
好烦	hcfj
好玩	hcwj
好球	hcqq
好用	hcys
好疼	hctg
好痛	hcts
好看	hckj
好笑	hcxn
好累	hclw
好美	hcmw
好耍	hcux
好脸	hclm
好色	hcse
好让	hcrh
好记	hcji
好评	hcpk
好说	hcuo
好货	hcho
好贵	hcgv
好赌	hcdu
好走	hczz
好转	hcvr
好软	hcrr
好过	hcgo
好运	hcyy
好远	hcyr
好长	hcih
好险	hcxm
好难	hcnj
好高	hcgc
好黑	hchw
如上	ruuh
如下	ruxx
如不	rubu
如云	ruyy
如今	rujb
如何	ruhe
如初	ruiu
如同	ruts
如图	rutu
如意	ruyi
如愿	ruyr
如数	ruuu
如斯	rusi
如有	ruyz
如期	ruqi
如来	ruld
如果	rugo
如梦	rumg
如梭	ruso
如此	ruci
如用	ruys
如约	ruyt
如能	rung
如花	ruhx
如若	ruro
如需	ruxu
如题	ruti
如风	rufg
妃子	fwzi
妄图	whtu
妄想	whxl
妄称	whig
妆容	vlrs
妇女	funv
妇婴	fuyk
妇孺	furu
妇科	fuke
妇联	fulm
妈咪	mami
妈妈	mama
妒忌	duji
妒恨	duhf
妒火	duho
妓女	jinv
妖女	ycnv
妖娆	ycrc
妖媚	ycmw
妖孽	ycnp
妖怪	ycgk
妖术	ycuu
妖气	ycqi
妖精	ycjk
妖魔	ycmo
妙哉	mnzd
妙处	mniu
妙手	mnuz
妙招	mnvc
妙文	mnwf
妙方	mnfh
妙法	mnfa
妙用	mnys
妙笔	mnbi
妙计	mnji
妙论	mnly
妙语	mnyu
妙趣	mnqu
妙龄	mnlk
妥为	toww
妥协	toxp
妥否	tofz
妥善	touj
妥帖	totp
妥当	todh
妨碍	fhai
妩媚	wumw
妯娌	vzli
妹夫	mwfu
妹妹	mwmw
妹子	mwzi
妻女	qinv
妻妾	qiqp
妻子	qizi
姊妹	zimw
始末	uimo
始终	uivs
姐夫	jpfu
姐妹	jpmw
姐姐	jpjp
姐弟	jpdi
姑且	guqp
姑妈	guma
姑姑	gugu
姑娘	gunl
姑嫂	gusc
姑爷	guye
姑苏	gusu
姑表	gubn
姓名	xkmk
委员	wwyr
委婉	wwwj
委屈	wwqu
委托	wwto
委派	wwpd
委身	wwuf
委顿	wwdy
姘头	pbtz
姘居	pbju
姜汤	jlth
姜葱	jlcs
姥姥	lclc
姨妈	yima
姨娘	yinl
姻缘	ybyr
姿势	ziui
姿容	zirs
姿态	zitd
姿色	zise
威严	wwyj
威信	wwxb
威力	wwli
威压	wwya
威名	wwmk
威慑	wwue
威望	wwwh
威武	wwwu
威猛	wwmg
威胁	wwxp
威震	wwvf
威风	wwfg
娃娃	wawa
娇喘	jnir
娇嗔	jnif
娇妻	jnqi
娇娘	jnnl
娇媚	jnmw
娇嫩	jnnf
娇宠	jnis
娇柔	jnrz
娇羞	jnxq
娇贵	jngv
