---config@码表分类=主码-4
---config@允许编辑=是
---config@码表别名=低频简词
提醒	tixy#序65000
神怒	ufnu#序65000
申瓯	ufou#序65000
胜点	ugdm#序65000
圣后	ughb#序65000
上啊	uhaa#序65000
蚀本	uibf#序65000
试单	uidj#序65000
师爹	uidx#序65000
是都	uidb#序65000
石拐	uigy#序65000
屎黄	uihd#序65000
诗律	uilv#序65000
狮跑	uipk#序65000
食盆	uipf#序65000
失准	uivp#序65000
石咀	uiju#序65000
删吧	ujba#序65000
单冰	djby#序65000
苫布	ujbu#序65000
善妒	ujdu#序65000
闪卡	ujka#序65000
扇娘	ujnd#序65000
膳宿	ujsu#序65000
山亭	ujty#序65000
山兔	ujtu#序65000
闪族	ujzu#序65000
甩单	uydj#序65000
甩浆	uyjd#序65000
帅鹏	uypg#序65000
帅太	uytl#序65000
帅图	uytu#序65000
爽呆	uddl#序65000
双顶	uddy#序65000
双弩	udnu#序65000
数遍	uubm#序65000
暑促	uucu#序65000
疏港	uugh#序65000
竖行	uuxy#序65000
书荒	uuhd#序65000
书台	uutl#序65000
舒泰	uutl#序65000
书亭	uuty#序65000
熟宣	uuxr#序65000
水荒	uvhd#序65000
谁睡	uvuv#序65000
耍呢	uwne#序65000
寿康	ubkh#序65000
受诉	ubsu#序65000
授徒	ubtu#序65000
收招	ubvk#序65000
渣帝	vadi#序65000
扎旗	vaqi#序65000
扎热	vare#序65000
找毛	vkmk#序65000
兆欧	vkou#序65000
招赘	vkvv#序65000
窄版	vlbj#序65000
斋藤	vltg#序65000
遮藏	vech#序65000
浙醋	vecu#序65000
柘木	vemu#序65000
折辱	ueru#序65000
真毒	vfdu#序65000
鸩毒	vfdu#序65000
真拿	vfna#序65000
针女	vfnv#序65000
真球	vfqq#序65000
真髓	vfsv#序65000
正藏	vgch#序65000
郑瑞	vgrv#序65000
整下	vgxw#序65000
障壁	vhbi#序65000
障蔽	vhbi#序65000
植萃	vicv#序65000
直吹	viiv#序65000
治具	viju#序65000
止口	vikb#序65000
值么	vime#序65000
质素	visu#序65000
支腿	vitv#序65000
志顺	viup#序65000
展读	vjdu#序65000
战锤	vjiv#序65000
蘸满	vjmj#序65000
战帅	vjuy#序65000
战双	vjud#序65000
战鹰	vjyy#序65000
桩底	vddi#序65000
捉对	vodv#序65000
卓辉	vohv#序65000
缴回	jchv#序65000
拙荆	vojy#序65000
灼目	vomu#序65000
卓睿	vorv#序65000
卓盛	voug#序65000
桌山	vouj#序65000
桌数	vouu#序65000
转图	vrtu#序65000
专务	vrwu#序65000
重臂	vsbi#序65000
中萃	vscv#序65000
中裤	vsku#序65000
中瑞	vsrv#序65000
住吧	vuba#序65000
主调	vudc#序65000
竹雕	vudc#序65000
主句	vuju#序65000
主库	vuku#序65000
铸铝	vulv#序65000
竹篾	vumx#序65000
诛灭	vumx#序65000
主仆	vupu#序65000
追吧	vvba#序65000
椎旁	ivph#序65000
椎体	ivti#序65000
皱皮	vbpi#序65000
哇啊	waaa#序65000
娲皇	wahd#序65000
瓦城	waig#序65000
挖能	wang#序65000
文编	wfbm#序65000
文翰	wfhj#序65000
问毛	wfmk#序65000
问么	wfme#序65000
玩啊	wjaa#序65000
万兵	wjby#序65000
万恒	wjhg#序65000
湾田	wjtm#序65000
我疯	wofg#序65000
我疼	wotg#序65000
无挂	wugw#序65000
五怕	wupa#序65000
五普	wupu#序65000
无刷	wuuw#序65000
微蹙	wzcu#序65000
微耕	wzgg#序65000
萎黄	wzhd#序65000
维恰	wzqw#序65000
魏帅	wzuy#序65000
魏霞	wzxw#序65000
魏颖	wzyy#序65000
新皮	xnpi#序65000
矽钢	xigh#序65000
西岗	xigh#序65000
吸潮	xiik#序65000
吸筹	xiib#序65000
西坑	xikg#序65000
系么	xime#序65000
西秀	xixq#序65000
星都	xydb#序65000
行否	xyfb#序65000
星界	xyjx#序65000
星怒	xynu#序65000
刑辱	xyru#序65000
兴铁	xytx#序65000
兴寿	xyub#序65000
乡宦	xdhr#序65000
相率	xduy#序65000
想啥	xdua#序65000
像样	xdyh#序65000
线稿	xmgk#序65000
县局	xmju#序65000
闲呢	xmne#序65000
仙男	xmnj#序65000
嫌难	xmnj#序65000
弦钮	xmnq#序65000
先求	xmqq#序65000
仙穹	xmqs#序65000
衔铁	xmtx#序65000
纤秀	xmxq#序65000
小拽	xcvy#序65000
协大	xxda#序65000
写单	xxdj#序65000
躞蹀	xxdx#序65000
写反	xxfj#序65000
亵裤	xxku#序65000
鞋库	xxku#序65000
邪龙	xxls#序65000
歇宿	xxsu#序65000
斜疝	xxuj#序65000
谢赞	xxzj#序65000
修帝	xqdi#序65000
羞爹	xqdx#序65000
修毛	xqmk#序65000
秀逸	xqyi#序65000
玄晶	xrjy#序65000
璇姐	xrjx#序65000
玄宁	xrny#序65000
悬系	xrxi#序65000
玄影	xryy#序65000
熊超	xsik#序65000
凶我	xswo#序65000
凶焰	xsyj#序65000
熊艳	xsyj#序65000
雪蝶	xtdx#序65000
血毒	xtdu#序65000
徐聪	xucs#序65000
虚淮	xuhy#序65000
许梿	xulm#序65000
须髯	xurj#序65000
许慎	xuuf#序65000
徐行	xuxy#序65000
续页	xuye#序65000
瞎喊	xwhj#序65000
瞎晃	xwhd#序65000
瞎看	xwkj#序65000
夏赞	xwzj#序65000
询单	xpdj#序65000
训读	xpdu#序65000
巡管	xpgr#序65000
训令	xply#序65000
巡幸	xpxy#序65000
巡行	xpxy#序65000
迅销	xpxc#序65000
荀彧	xpyu#序65000
训喻	xpyu#序65000
雅畈	yafj#序65000
雅称	yaig#序65000
压疮	yaid#序65000
压块	yaky#序65000
亚青	yaqy#序65000
压球	yaqq#序65000
亚帅	yauy#序65000
亚希	yaxi#序65000
雅莹	yayy#序65000
音段	yndr#序65000
阴超	ynik#序65000
银块	ynky#序65000
银罗	ynlo#序65000
殷明	ynmy#序65000
尹鹏	ynpg#序65000
荫棚	ynpg#序65000
印谱	ynpu#序65000
银雀	ynqt#序65000
姚冰	ykby#序65000
要跪	ykgv#序65000
要吹	ykiv#序65000
要摔	ykuy#序65000
要赢	ykyy#序65000
要赞	ykzj#序65000
页顶	yedy#序65000
也饿	yeee#序65000
夜航	yehh#序65000
也厚	yehb#序65000
叶康	yekh#序65000
也哭	yeku#序65000
野岭	yely#序65000
野日	yeri#序65000
野糖	yeth#序65000
也上	yeuh#序65000
样块	yhky#序65000
佯狂	yhkd#序65000
央请	yhqy#序65000
样呀	yhya#序65000
癔病	yiby#序65000
一行	yixy#序65000
已坏	yihy#序65000
移速	yisu#序65000
一弹	yidj#序65000
义序	yixu#序65000
雁荡	yjdh#序65000
赝鼎	yjdy#序65000
雁行	yjhh#序65000
炎魂	yjhp#序65000
掩码	yjma#序65000
眼盲	yjmh#序65000
炎日	yjri#序65000
延烧	yjuk#序65000
闫帅	yjuy#序65000
硬包	yybk#序65000
英本	yybf#序65000
应兵	yyby#序65000
应否	yyfb#序65000
英嘎	yyga#序65000
硬钢	yygh#序65000
萦怀	yyhy#序65000
硬闯	yyid#序65000
远侧	yrce#序65000
圆度	yrdu#序65000
员额	yree#序65000
元康	yrkh#序65000
远么	yrme#序65000
远藤	yrtg#序65000
用对	ysdv#序65000
永帅	ysuy#序65000
永盈	ysyy#序65000
月空	ytks#序65000
岳宁	ytny#序65000
月抛	ytpk#序65000
越苏	ytsu#序65000
约上	ytuh#序65000
雨崩	yubg#序65000
宇邦	yubh#序65000
余灿	yucj#序65000
余党	yudh#序65000
雨挡	yudh#序65000
遇怪	yugy#序65000
浴柜	yugv#序65000
鱼护	yuhu#序65000
玉昆	yukp#序65000
愚蒙	yumg#序65000
羽芒	yumh#序65000
渝能	yung#序65000
于宁	yuny#序65000
玉藻	yuzk#序65000
预早	yuzk#序65000
云光	ypgd#序65000
云华	yphw#序65000
云清	ypqy#序65000
愠色	ypse#序65000
云亭	ypty#序65000
邮航	ybhh#序65000
右踝	ybhy#序65000
有黄	ybhd#序65000
右盆	ybpf#序65000
幽囚	ybqq#序65000
有赢	ybyy#序65000
杂件	zajm#序65000
早吃	zkii#序65000
在啊	zlaa#序65000
在行	zlhh#序65000
在成	zlig#序65000
再萌	zlmg#序65000
曾波	cgbo#序65000
曾帅	cguy#序65000
子啊	ziaa#序65000
紫冰	ziby#序65000
紫黑	zihz#序65000
字长	zivh#序65000
自愧	zikv#序65000
子类	zilz#序65000
自雷	zilz#序65000
自瞄	zimc#序65000
自馁	zinz#序65000
子晴	ziqy#序65000
做条	zotc#序65000
总被	zsbz#序65000
总没	zsmz#序65000
族权	zuqr#序65000
流式	lqui#序65000
苏颋	suty#序65000
平胡	pyhu#序65000
受图	ubtu#序65000
承和	ighe#序65000
姜皎	jdjc#序65000
煌煌	hdhd#序65000
孟简	mgjm#序65000
庆休	qyxq#序65000
治顺	viup#序65000
卢弼	lubi#序65000
甘州	gjvb#序65000
谢偃	xxyj#序65000
述怀	uuhy#序65000
咏萤	ysyy#序65000
庾抱	yubk#序65000
咏水	ysuv#序65000
诗式	uiui#序65000
边愁	bmib#序65000
咏星	ysxy#序65000
怨情	yrqy#序65000
咏井	ysjy#序65000
咏镜	ysjy#序65000
麹瞻	quvj#序65000
解琬	jxwj#序65000
崔沔	cvmm#序65000
崔翘	cvqc#序65000
漆园	qiyr#序65000
呈易	igyi#序65000
元锡	yrxi#序65000
感梦	gjmg#序65000
沈宇	ufyu#序65000
梁锽	ldhd#序65000
幽情	ybqy#序65000
昔游	xiyb#序65000
喜雨	xiyu#序65000
四松	siss#序65000
遣兴	qmxy#序65000
归燕	gvyj#序65000
后游	hbyb#序65000
薄游	bkyb#序65000
泛江	fjjd#序65000
归梦	gvmg#序65000
拨闷	bomf#序65000
晨雨	ifyu#序65000
向夕	xdxi#序65000
昼梦	vbmg#序65000
观等	grdg#序65000
之芳	vifh#序65000
遣忧	qmyb#序65000
言怀	yjhy#序65000
戏鸥	xiou#序65000
至惑	viho#序65000
至伤	viuh#序65000
初祀	iusi#序65000
贾躭	jwdj#序65000
孤石	guui#序65000
馀姚	yuyk#序65000
冯宿	fgsu#序65000
秦镜	qnjy#序65000
高拯	gkvg#序65000
常沂	ihyi#序65000
寒塘	hjth#序65000
奚贾	xijw#序65000
玉屑	yuxx#序65000
新晴	xnqy#序65000
贾弇	jwyj#序65000
崔备	cvbz#序65000
寓兴	yuxy#序65000
诫言	jxyj#序65000
照字	vkzi#序65000
迟字	iizi#序65000
蜀志	uuvi#序65000
溪居	xiju#序65000
幽怀	ybhy#序65000
示爽	uiud#序65000
记梦	jimg#序65000
朝归	ikgv#序65000
荷池	heii#序65000
镜潭	jytj#序65000
孤屿	guyu#序65000
贞符	vffu#序65000
种朮	vsuu#序65000
叹命	tjmy#序65000
韦生	wzug#序65000
梳铭	uumy#序65000
谣俗	yksu#序65000
野哭	yeku#序65000
蛒蜂	gefg#序65000
遣病	qmby#序65000
纪怀	jihy#序65000
先醉	xmzv#序65000
羡醉	xmzv#序65000
寄昙	jitj#序65000
古耶	guye#序65000
辨颖	bmyy#序65000
必搜	bisb#序65000
梦仙	mgxm#序65000
夏旱	xwhj#序65000
松声	ssug#序65000
郡亭	jpty#序65000
酬之	ibvi#序65000
寄严	jiyj#序65000
晏起	yjqi#序65000
晓别	xcbx#序65000
谕怀	yuhy#序65000
郊下	jcxw#序65000
强酒	qdjq#序65000
寄远	jiyr#序65000
闲夕	xmxi#序65000
闲咏	xmys#序65000
喜闲	xixm#序65000
闲眠	xmmm#序65000
似玉	uiyu#序65000
琪树	qiuu#序65000
荐冰	jmby#序65000
隋宫	svgs#序65000
寄归	jigv#序65000
即夕	jixi#序65000
说郛	uofu#序65000
杏溪	xyxi#序65000
咏莺	ysyy#序65000
看涛	kjtk#序65000
寻僧	xpsg#序65000
河亭	hety#序65000
惟应	wzyy#序65000
尹璞	ynpu#序65000
妓席	jixi#序65000
因书	ynuu#序65000
忆雪	yixt#序65000
寓怀	yuhy#序65000
虞卿	yuqy#序65000
纪梦	jimg#序65000
晚夏	wjxw#序65000
权审	qruf#序65000
严恽	yjyp#序65000
裴翻	pzfj#序65000
初排	iupl#序65000
于瑰	yugv#序65000
颍亭	yyty#序65000
宵民	xcmn#序65000
吾道	wudk#序65000
送路	sslu#序65000
贵宅	gvvl#序65000
感古	gjgu#序65000
茶诗	iaui#序65000
武瓘	wugr#序65000
箕山	jiuj#序65000
夷门	yimf#序65000
写怀	xxhy#序65000
射鱼	ueyu#序65000
药鱼	ykyu#序65000
樵担	qcdj#序65000
茶鼎	iady#序65000
食鱼	uiyu#序65000
岛树	dkuu#序65000
省试	ugui#序65000
新节	xnjx#序65000
喻道	yudk#序65000
别友	bxyb#序65000
居延	juyj#序65000
岘山	xmuj#序65000
钜桥	juqc#序65000
鲁城	luig#序65000
泜水	viuv#序65000
莺声	yyug#序65000
楚思	iusi#序65000
寄怀	jihy#序65000
锦浦	jnpu#序65000
多虞	doyu#序65000
寄舅	jijq#序65000
欲明	yumy#序65000
野塘	yeth#序65000
驿步	yibu#序65000
驿楼	yilb#序65000
意绪	yixu#序65000
褭娜	ncna#序65000
燕雏	yjiu#序65000
出迟	iuii#序65000
楚事	iuui#序65000
豫让	yurh#序65000
新雁	xnyj#序65000
丛苇	cswz#序65000
叙怀	xuhy#序65000
去扇	quuj#序65000
香鸭	xdya#序65000
田上	tmuh#序65000
溪夜	xiye#序65000
颂鲁	sslu#序65000
蒋肱	jdgs#序65000
智伯	vibo#序65000
郑相	vgxd#序65000
古别	gubx#序65000
戏语	xiyu#序65000
潘佑	pjyb#序65000
韦鼎	wzdy#序65000
咏鹰	ysyy#序65000
汤悦	thyt#序65000
赋竹	fuvu#序65000
秋残	qqcj#序65000
韩屿	hjyu#序65000
卢注	luvu#序65000
颜舒	yjuu#序65000
裴延	pzyj#序65000
钱戭	qmyj#序65000
裴瑶	pzyk#序65000
熊曜	xsyk#序65000
朱晦	vuhv#序65000
林珝	lnxu#序65000
罗泰	lotl#序65000
石倚	uiyi#序65000
颜浑	yjhp#序65000
法振	favf#序65000
待月	dlyt#序65000
柳氏	lqui#序65000
慧净	hvjy#序65000
义净	yijy#序65000
禅诗	ijui#序65000
元孚	yrfu#序65000
神颖	ufyy#序65000
诫贪	jxtj#序65000
隐峦	ynlr#序65000
一曰	yiyt#序65000
宝洲	bkvb#序65000
咏影	ysyy#序65000
谢炭	xxtj#序65000
言兴	yjxy#序65000
栖蟾	qiij#序65000
织妇	vifu#序65000
寄鱼	jiyu#序65000
颜歜	yjiu#序65000
朝帝	ikdi#序65000
留诗	lqui#序65000
理笙	liug#序65000
陆凭	lupy#序65000
尉佗	wzto#序65000
韦璜	wzhd#序65000
故杵	guiu#序65000
褰帐	qmvh#序65000
嘲父	ikfu#序65000
吴人	wurf#序65000
寄女	jinv#序65000
仙客	xmke#序65000
萧结	xcjx#序65000
禹汤	yuth#序65000
琐言	soyj#序65000
俗谚	suyj#序65000
烈祖	lxzu#序65000
莺语	yyyu#序65000
相唤	xdhr#序65000
柳堤	lqdi#序65000
愁听	ibty#序65000
声促	ugcu#序65000
傅温	fuwf#序65000
唐枢	thuu#序65000
卢伦	lulp#序65000
哀苦	aiku#序65000
笆斗	badb#序65000
笆篓	balb#序65000
白榜	blbh#序65000
扳本	bjbf#序65000
板筑	bjvu#序65000
版筑	bjvu#序65000
暴病	bkby#序65000
暴卒	bkzu#序65000
悲号	bzhk#序65000
碑首	bzub#序65000
备办	bzbj#序65000
笔受	biub#序65000
笔削	bixt#序65000
碧血	bixt#序65000
壁布	bibu#序65000
萹豆	bmdb#序65000
稨豆	bmdb#序65000
藊豆	bmdb#序65000
禀受	byub#序65000
病笃	bydu#序65000
病候	byhb#序65000
卟吩	buff#序65000
补苴	buju#序65000
不遑	buhd#序65000
步韵	buyp#序65000
部头	butb#序65000
残效	cjxc#序65000
草昧	ckmz#序65000
差失	iaui#序65000
茶食	iaui#序65000
茶资	iazi#序65000
查堵	iadu#序65000
𥻗子	iazi#序65000
汊子	iazi#序65000
杈子	iazi#序65000
柴鸡	ilji#序65000
搀兑	ijdv#序65000
巉岩	ijyj#序65000
长物	ihwu#序65000
场屋	ihwu#序65000
肠衣	ihyi#序65000
厂纪	ihji#序65000
巢窟	ikku#序65000
扯腿	ietv#序65000
陈腐	iffu#序65000
称贺	ighe#序65000
成议	igyi#序65000
成约	igyt#序65000
呈子	igzi#序65000
枨触	igiu#序65000
承储	igiu#序65000
承题	igti#序65000
惩艾	igyi#序65000
逞性	igxy#序65000
骋目	igmu#序65000
秤星	igxy#序65000
吃罪	iizv#序65000
痴醉	iizv#序65000
匙子	iizi#序65000
踟躇	iiiu#序65000
尺头	iitb#序65000
翅子	iizi#序65000
冲犯	isfj#序65000
出槽	iuck#序65000
出继	iuji#序65000
出仕	iuui#序65000
初志	iuvi#序65000
除息	iuxi#序65000
厨司	iusi#序65000
雏妓	iuji#序65000
处士	iuui#序65000
处治	iuvi#序65000
杵舞	iuwu#序65000
础石	iuui#序65000
储积	iuji#序65000
怵惕	iuti#序65000
触机	iuji#序65000
传述	iruu#序65000
串气	irqi#序65000
词调	cidc#序65000
词序	cixu#序65000
错时	coui#序65000
搭帮	dabh#序65000
担名	djmy#序65000
单皮	djpi#序65000
胆壮	djvd#序65000
蛋青	djqy#序65000
岛弧	dkhu#序65000
抵补	dibu#序65000
底土	ditu#序65000
牴牾	diwu#序65000
骶骨	digu#序65000
地𬷕	dibu#序65000
地灯	didg#序65000
地肤	difu#序65000
弟妇	difu#序65000
谛听	dity#序65000
掂对	dmdv#序65000
点补	dmbu#序65000
电霸	dmba#序65000
电头	dmtb#序65000
定鼎	dydy#序65000
定户	dyhu#序65000
东床	dsid#序65000
兜肚	dbdu#序65000
笃爱	duai#序65000
短装	drvd#序65000
掇拾	doui#序65000
驮子	tozi#序65000
妸娜	eena#序65000
谔谔	eeee#序65000
二乎	erhu#序65000
二忽	erhu#序65000
藩屏	fjpy#序65000
烦神	fjuf#序65000
繁本	fjbf#序65000
坊本	fhbf#序65000
放赈	fhvf#序65000
菲仪	fzyi#序65000
费难	fznj#序65000
封镜	fgjy#序65000
峰巅	fgdm#序65000
逢集	fgji#序65000
唪经	fgjy#序65000
凤鲚	fgji#序65000
肤泛	fufj#序65000
敷陈	fuif#序65000
伏诛	fuvu#序65000
伏罪	fuzv#序65000
拂尘	fuif#序65000
服膺	fuyy#序65000
浮泛	fufj#序65000
辐凑	fucb#序65000
蝠鲼	fuff#序65000
拊膺	fuyy#序65000
辅币	fubi#序65000
辅弼	fubi#序65000
父本	fubf#序65000
讣文	fuwf#序65000
讣闻	fuwf#序65000
附笔	fubi#序65000
赴难	funj#序65000
复本	fubf#序65000
傅粉	fuff#序65000
槁木	gkmu#序65000
诰封	gkfg#序65000
圪蹴	gecu#序65000
格登	gedg#序65000
更阑	gglj#序65000
工蜂	gsfg#序65000
公孟	gsmg#序65000
躬逢	gsfg#序65000
贡奉	gsfg#序65000
勾阑	gblj#序65000
孤拐	gugy#序65000
股迷	gumi#序65000
馉饳	gudo#序65000
鼓师	guui#序65000
榾柮	gudo#序65000
故实	guui#序65000
故世	guui#序65000
故书	guuu#序65000
关塞	grsl#序65000
官长	grvh#序65000
管见	grjm#序65000
逛灯	gddg#序65000
龟板	gvbj#序65000
规正	gvvg#序65000
闺范	gvfj#序65000
轨范	gvfj#序65000
过晌	gouh#序65000
捍御	hjyu#序65000
号哭	hkku#序65000
皓首	hkub#序65000
呵叱	heii#序65000
何啻	heii#序65000
哄动	hsds#序65000
烘笼	hsls#序65000
红样	hsyh#序65000
宏扬	hsyh#序65000
洪帮	hsbh#序65000
呼扇	huuj#序65000
唿扇	huuj#序65000
觳觫	husu#序65000
滑膛	hwth#序65000
化育	hwyu#序65000
画符	hwfu#序65000
还席	hrxi#序65000
环生	hrug#序65000
环烃	hrty#序65000
喤喤	hdhd#序65000
遑遑	hdhd#序65000
锽锽	hdhd#序65000
回护	hvhu#序65000
回佣	hvys#序65000
会衔	hvxm#序65000
绘染	hvrj#序65000
浑如	hpru#序65000
火绳	houg#序65000
火性	hoxy#序65000
货声	houg#序65000
豁朗	holh#序65000
饥色	jise#序65000
机徽	jihv#序65000
唧咕	jigu#序65000
积久	jijq#序65000
积习	jixi#序65000
积郁	jiyu#序65000
稽延	jiyj#序65000
激切	jiqx#序65000
羁勒	jilz#序65000
汲引	jiyn#序65000
极顶	jidy#序65000
棘爪	jivk#序65000
集部	jibu#序65000
集解	jijx#序65000
集刊	jikj#序65000
挤咕	jigu#序65000
忌语	jiyu#序65000
既望	jiwh#序65000
寄名	jimy#序65000
寄售	jiub#序65000
寄寓	jiyu#序65000
寂然	jirj#序65000
冀图	jitu#序65000
家蚕	jwcj#序65000
家塾	jwuu#序65000
家严	jwyj#序65000
荚果	jwgo#序65000
恝然	jwrj#序65000
甲部	jwbu#序65000
假果	jwgo#序65000
兼课	jmke#序65000
兼听	jmty#序65000
鹣鲽	jmdx#序65000
俭省	jmug#序65000
检获	jmho#序65000
减省	jmug#序65000
简板	jmbj#序65000
简慢	jmmj#序65000
简省	jmug#序65000
碱荒	jmhd#序65000
见背	jmbz#序65000
剑麻	jmma#序65000
健走	jmzb#序65000
渐次	jmci#序65000
交验	jcyj#序65000
浇漓	jcli#序65000
娇憨	jchj#序65000
胶版	jcbj#序65000
胶木	jcmu#序65000
铰刀	jcdk#序65000
脚灯	jcdg#序65000
教范	jcfj#序65000
接产	jxij#序65000
接防	jxfh#序65000
接柜	jxgv#序65000
接墒	jxuh#序65000
嗟叹	jxtj#序65000
街门	jxmf#序65000
节烈	jxlx#序65000
劫犯	jxfj#序65000
诘难	jxnj#序65000
截门	jxmf#序65000
羯羊	jxyh#序65000
姐丈	jxvh#序65000
解吸	jxxi#序65000
解严	jxyj#序65000
疥螨	jxmj#序65000
借账	jxvh#序65000
金疮	jnid#序65000
谨严	jnyj#序65000
进言	jnyj#序65000
经久	jyjq#序65000
敬服	jyfu#序65000
究办	jqbj#序65000
菊坛	jutj#序65000
举告	jugk#序65000
举隅	juyu#序65000
拒贿	juhv#序65000
聚赌	judu#序65000
聚生	juug#序65000
聚谈	jutj#序65000
遽然	jurj#序65000
堪布	kjbu#序65000
栲栳	kklk#序65000
𥬯䇭	kklk#序65000
科盲	kemh#序65000
枯朽	kuxq#序65000
岚烟	ljyj#序65000
谰言	ljyj#序65000
懒怠	ljdl#序65000
黎庶	liuu#序65000
力畜	liiu#序65000
历书	liuu#序65000
立户	lihu#序65000
利钝	lidp#序65000
练达	lmda#序65000
炼字	lmzi#序65000
凉台	ldtl#序65000
晾台	ldtl#序65000
僚友	lcyb#序65000
流矢	lqui#序65000
流势	lqui#序65000
鹿砦	luvl#序65000
菉豆	ludb#序65000
罗纹	lowf#序65000
裸麦	loml#序65000
落生	loug#序65000
落音	loyn#序65000
漫溢	mjyi#序65000
慢件	mjjm#序65000
卯榫	mksp#序65000
冒顶	mkdy#序65000
媒妁	mzuo#序65000
煤末	mzmo#序65000
旻天	mntm#序65000
摸营	moyy#序65000
眽眽	momo#序65000
木简	mujm#序65000
木锨	muxm#序65000
目见	mujm#序65000
泥金	nijn#序65000
宁亲	nyqn#序65000
爬梳	pauu#序65000
辟头	pitb#序65000
匹头	pitb#序65000
譬喻	piyu#序65000
贫铀	pnyb#序65000
平允	pyyp#序65000
凄惘	qiwh#序65000
期求	qiqq#序65000
漆雕	qidc#序65000
奇拔	qiba#序65000
歧出	qiiu#序65000
棋坛	qitj#序65000
蕲求	qiqq#序65000
鲯鳅	qiqq#序65000
乞援	qiyr#序65000
岂但	qidj#序65000
企求	qiqq#序65000
杞柳	qilq#序65000
起旱	qihj#序65000
气井	qijy#序65000
气眼	qiyj#序65000
迁延	qmyj#序65000
愆尤	qmyb#序65000
黔首	qmub#序65000
纤手	qmub#序65000
歉收	qmub#序65000
钦敬	qnjy#序65000
青蚨	qyfu#序65000
青鼬	qyyb#序65000
清栏	qylj#序65000
清誉	qyyu#序65000
情由	qyyb#序65000
曲蟮	quuj#序65000
屈节	qujx#序65000
祛疑	quyi#序65000
趋时	quui#序65000
蛐蟮	quuj#序65000
蘧然	qurj#序65000
去势	quui#序65000
全般	qrbj#序65000
如次	ruci#序65000
儒医	ruyi#序65000
锐敏	rvmn#序65000
沙碛	uaqi#序65000
沙浴	uayu#序65000
铩羽	uayu#序65000
芟除	ujiu#序65000
煽呼	ujhu#序65000
伤悼	uhdk#序65000
折秤	veig#序65000
设使	ueui#序65000
慑于	ueyu#序65000
申斥	ufii#序65000
申饬	ufii#序65000
申敕	ufii#序65000
神驰	ufii#序65000
神妙	ufmc#序65000
神宇	ufyu#序65000
审订	ufdy#序65000
失单	uidj#序65000
失悔	uihv#序65000
失据	uiju#序65000
失闪	uiuj#序65000
失时	uiui#序65000
失收	uiub#序65000
失宜	uiyi#序65000
失迎	uiyy#序65000
师事	uiui#序65000
诗余	uiyu#序65000
施事	uiui#序65000
湿租	uizu#序65000
石担	uidj#序65000
石舫	uifh#序65000
时式	uiui#序65000
时行	uihh#序65000
实事	uiui#序65000
拾趣	uiqu#序65000
史部	uibu#序65000
使役	uiyi#序65000
士卒	uizu#序65000
世局	uiju#序65000
世兄	uixs#序65000
世医	uiyi#序65000
世族	uizu#序65000
市布	uibu#序65000
市徽	uihv#序65000
市惠	uihv#序65000
市树	uiuu#序65000
视事	uiui#序65000
视域	uiyu#序65000
视阈	uiyu#序65000
柿霜	uiud#序65000
适意	uiyi#序65000
释读	uidu#序65000
嗜欲	uiyu#序65000
誓师	uiui#序65000
收抚	ubfu#序65000
守服	ubfu#序65000
首户	ubhu#序65000
首途	ubtu#序65000
受病	ubby#序65000
授首	ubub#序65000
授受	ubub#序65000
书牍	uudu#序65000
叔祖	uuzu#序65000
殊誉	uuyu#序65000
倏忽	uuhu#序65000
熟荒	uuhd#序65000
熟思	uusi#序65000
熟土	uutu#序65000
熟语	uuyu#序65000
薯蓣	uuyu#序65000
束装	uuvd#序65000
庶乎	uuhu#序65000
数制	uuvi#序65000
爽目	udmu#序65000
丝糕	sigk#序65000
私商	siuh#序65000
私衷	sivs#序65000
死灰	sihv#序65000
苏剧	suju#序65000
俗讲	sujd#序65000
夙嫌	suxm#序65000
诉述	suuu#序65000
宿土	sutu#序65000
宿嫌	suxm#序65000
岁初	sviu#序65000
燧石	svui#序65000
台甫	tlfu#序65000
太甚	tluf#序65000
潭府	tjfu#序65000
檀板	tjbj#序65000
檀越	tjyt#序65000
叹赏	tjuh#序65000
炭精	tjjy#序65000
探井	tjjy#序65000
蹚路	thlu#序65000
掏底	tkdi#序65000
媞媞	uiui#序65000
跳月	tcyt#序65000
通名	tsmy#序65000
退行	tvxy#序65000
托子	tozi#序65000
拖驳	tobo#序65000
驮马	toma#序65000
砣子	tozi#序65000
挽幛	wjvh#序65000
违忤	wzwu#序65000
违误	wzwu#序65000
伪假	wzjw#序65000
伪托	wzto#序65000
卫护	wzhu#序65000
鳁鲸	wfjy#序65000
稳便	wfbm#序65000
於乎	yuhu#序65000
无任	wurf#序65000
无如	wuru#序65000
无行	wuxy#序65000
五荤	wuhp#序65000
五刑	wuxy#序65000
舞星	wuxy#序65000
晤面	wumm#序65000
希少	xiuk#序65000
析居	xiju#序65000
舾装	xivd#序65000
锡匠	xijd#序65000
豨莶	xixm#序65000
噏动	xids#序65000
瘜肉	xirb#序65000
席篾	ximx#序65000
潟湖	xihu#序65000
先声	xmug#序65000
纤悉	xmxi#序65000
闲趣	xmqu#序65000
衔命	xmmy#序65000
显目	xmmu#序65000
显圣	xmug#序65000
险巇	xmxi#序65000
崄巇	xmxi#序65000
现局	xmju#序65000
线绳	xmug#序65000
献芹	xmqn#序65000
献映	xmyy#序65000
乡井	xdjy#序65000
香肚	xddu#序65000
详明	xdmy#序65000
详悉	xdxi#序65000
