---config@码表分类=主码-7
---config@允许编辑=是
---config@码表别名=系统唐诗
渭川田家	wwirtmjxdb#序52000
昔闻洞庭水	xiwfdstkuvru#序52000
昔闻洞庭水	xiwfdstkuvra#序52000
今上岳阳楼	jbuhytyhlzrm#序52000
吴楚东南坼	wuiudsnjiekt#序52000
乾坤日夜浮	qmkyriyefuqd#序52000
乾坤日夜浮	qmkyriyefuud#序52000
亲朋无一字	qbpgwuyizilb#序52000
老病有孤舟	lcbkyzguvzbp#序52000
老病有孤舟	lcbkyzguvzlp#序52000
戎马关山北	rsmagrujbwga#序52000
戎马关山北	rsmagrujbwgb#序52000
戎马关山北	rsmagrujbwgh#序52000
凭轩涕泗流	pkxrtisilqjd#序52000
寒山转苍翠	hjujvrchcvby#序52000
秋水日潺湲	qquvriijyrhd#序52000
倚杖柴门外	yivhidmfwdrx#序52000
临风听暮蝉	lbfgtkmuijai#序52000
临风听暮蝉	lbfgtkmuijdi#序52000
临风听暮蝉	lbfgtkmuijui#序52000
渡头余落日	dutzyulorido#序52000
渡头余落日	dutzyuloridr#序52000
渡头余落日	dutzyulorida#序52000
渡头余落日	dutzyuloridu#序52000
墟里上孤烟	xuliuhguyjth#序52000
复值接舆醉	fuvijpyuzvpy#序52000
复值接舆醉	fuvijpyuzvry#序52000
复值接舆醉	fuvijpyuzvwy#序52000
狂歌五柳前	klgewulqqmqb#序52000
狂歌五柳前	klgewulqqmqq#序52000
空山新雨后	ksujxbyuhzbp#序52000
空山新雨后	ksujxbyuhzxp#序52000
天气晚来秋	tmqiwjldqqah#序52000
天气晚来秋	tmqiwjldqqhh#序52000
明月松间照	mkytssjmvcod#序52000
明月松间照	mkytssjmvcoh#序52000
明月松间照	mkytssjmvcrd#序52000
明月松间照	mkytssjmvcrh#序52000
清泉石上流	qkqruiuhlqdd#序52000
竹喧归浣女	vuxrgvhrnvpa#序52000
竹喧归浣女	vuxrgvhrnvpv#序52000
竹喧归浣女	vuxrgvhrnvva#序52000
竹喧归浣女	vuxrgvhrnvvv#序52000
莲动下渔舟	lmdsxxyuvzcp#序52000
随意春芳歇	svyiiyfhxpeq#序52000
王孙自可留	whsyzikelqal#序52000
王孙自可留	whsyzikelqat#序52000
王孙自可留	whsyzikelqhl#序52000
王孙自可留	whsyzikelqht#序52000
清川带长薄	qkirddvhbcdc#序52000
车马去闲闲	iemaquxmxmam#序52000
车马去闲闲	iemaquxmxmhm#序52000
流水如有意	lquvruyzyidl#序52000
流水如有意	lquvruyzyidx#序52000
暮禽相与还	muqbxlyuhdcz#序52000
暮禽相与还	muqbxlyuhdoz#序52000
暮禽相与还	muqbxlyuhdrz#序52000
荒城临古渡	hliglbguducd#序52000
落日满秋山	lorimjqqujca#序52000
落日满秋山	lorimjqqujcu#序52000
迢递嵩高下	tndissgcxxza#序52000
迢递嵩高下	tndissgcxxzh#序52000
归来且闭关	gvldqpbigrab#序52000
归来且闭关	gvldqpbigraq#序52000
归来且闭关	gvldqpbigrdb#序52000
归来且闭关	gvldqpbigrdq#序52000
归来且闭关	gvldqpbigrub#序52000
归来且闭关	gvldqpbigruq#序52000
太乙近天都	tdyijbtmdzde#序52000
连山到海隅	lmujdchdyuze#序52000
白云回望合	bdyyhvwhhepr#序52000
青霭入看无	qkairukjwufa#序52000
青霭入看无	qkairukjwufe#序52000
青霭入看无	qkairukjwufh#序52000
青霭入看无	qkairukjwuoa#序52000
青霭入看无	qkairukjwuoe#序52000
青霭入看无	qkairukjwuoh#序52000
青霭入看无	qkairukjwuya#序52000
青霭入看无	qkairukjwuye#序52000
青霭入看无	qkairukjwuyh#序52000
分野中峰变	ffyevsfgbmbw#序52000
分野中峰变	ffyevsfgbmby#序52000
分野中峰变	ffyevsfgbmdw#序52000
分野中峰变	ffyevsfgbmdy#序52000
阴晴众壑殊	ybqkvsheuued#序52000
欲投人处宿	yutzrfiusugb#序52000
欲投人处宿	yutzrfiusuqb#序52000
隔水问樵夫	geuvwfqnfuea#序52000
隔水问樵夫	geuvwfqnfuee#序52000
隔水问樵夫	geuvwfqnfueh#序52000
晚年惟好静	wjnmwwhcjkoq#序52000
晚年惟好静	wjnmwwhcjkrq#序52000
万事不关心	wjuibugrxbad#序52000
万事不关心	wjuibugrxbhd#序52000
自顾无长策	ziguwuihcepv#序52000
空知返旧林	ksvifjjqlbbm#序52000
空知返旧林	ksvifjjqlbxm#序52000
松风吹解带	ssfgivjpddmj#序52000
山月照弹琴	ujytvctjqbaw#序52000
山月照弹琴	ujytvctjqbuw#序52000
君问穷通理	jywfqstslikw#序52000
渔歌入浦深	yugerupuufdd#序52000
不知香积寺	buvixljisiac#序52000
不知香积寺	buvixljisiat#序52000
不知香积寺	buvixljisihc#序52000
不知香积寺	buvixljisiht#序52000
数里入云峰	uuliruyyfgwu#序52000
古木无人径	gumuwurfjkur#序52000
古木无人径	gumuwurfjkux#序52000
深山何处钟	ufujheiuvsdj#序52000
泉声咽危石	qrugyjwwuiba#序52000
泉声咽危石	qrugyjwwuibh#序52000
泉声咽危石	qrugyjwwuibk#序52000
泉声咽危石	qrugyjwwuibp#序52000
泉声咽危石	qrugyjwwuiua#序52000
泉声咽危石	qrugyjwwuiuh#序52000
泉声咽危石	qrugyjwwuiuk#序52000
泉声咽危石	qrugyjwwuiup#序52000
日色冷青松	riselgqkssom#序52000
日色冷青松	riselgqkssrm#序52000
日色冷青松	riselgqkssam#序52000
日色冷青松	riselgqkssum#序52000
薄暮空潭曲	bomukstjquca#序52000
薄暮空潭曲	bomukstjquco#序52000
薄暮空潭曲	bomukstjqucr#序52000
薄暮空潭曲	bomukstjqucu#序52000
安禅制毒龙	anijvidulsba#序52000
安禅制毒龙	anijvidulsbh#序52000
万壑树参天	wjheuucjtmaa#序52000
万壑树参天	wjheuucjtmah#序52000
万壑树参天	wjheuucjtmha#序52000
万壑树参天	wjheuucjtmhh#序52000
千山响杜鹃	qmujxldujrpn#序52000
山中一夜雨	ujvsyiyeyuaa#序52000
山中一夜雨	ujvsyiyeyuah#序52000
山中一夜雨	ujvsyiyeyuua#序52000
山中一夜雨	ujvsyiyeyuuh#序52000
树杪百重泉	uumnbdvsqrmb#序52000
树杪百重泉	uumnbdvsqrmu#序52000
汉女输橦布	hjnvuutsbudj#序52000
汉女输橦布	hjnvuutsbudu#序52000
巴人讼芋田	barfssyutmaa#序52000
巴人讼芋田	barfssyutmau#序52000
巴人讼芋田	barfssyutmka#序52000
巴人讼芋田	barfssyutmku#序52000
巴人讼芋田	barfssyutmva#序52000
巴人讼芋田	barfssyutmvu#序52000
文翁翻教授	wfwgfjjnuzdf#序52000
文翁翻教授	wfwgfjjnuzdt#序52000
不敢倚先贤	bugjyixmxmab#序52000
不敢倚先贤	bugjyixmxmhb#序52000
楚塞三湘接	iusdsjxljpmf#序52000
楚塞三湘接	iusdsjxljpmt#序52000
楚塞三湘接	iusdsjxljppf#序52000
楚塞三湘接	iusdsjxljppt#序52000
荆门九派通	jkmfjqpdtsdz#序52000
江流天地外	jllqtmdiwddx#序52000
山色有无中	ujseyzwuvsaa#序52000
山色有无中	ujseyzwuvsak#序52000
山色有无中	ujseyzwuvsau#序52000
山色有无中	ujseyzwuvsua#序52000
山色有无中	ujseyzwuvsuk#序52000
山色有无中	ujseyzwuvsuu#序52000
郡邑浮前浦	jyyifuqmpued#序52000
波澜动远空	boljdsyrksdb#序52000
波澜动远空	boljdsyrksdx#序52000
襄阳好风日	xlyhhcfgrido#序52000
襄阳好风日	xlyhhcfgridr#序52000
襄阳好风日	xlyhhcfgrida#序52000
襄阳好风日	xlyhhcfgridu#序52000
襄阳好风日	xlyhhcfgriwo#序52000
襄阳好风日	xlyhhcfgriwr#序52000
襄阳好风日	xlyhhcfgriwa#序52000
襄阳好风日	xlyhhcfgriwu#序52000
襄阳好风日	xlyhhcfgriyo#序52000
襄阳好风日	xlyhhcfgriyr#序52000
襄阳好风日	xlyhhcfgriya#序52000
襄阳好风日	xlyhhcfgriyu#序52000
留醉与山翁	lqzvyuujwgly#序52000
留醉与山翁	lqzvyuujwgty#序52000
中岁颇好道	vssvpohcdcaz#序52000
中岁颇好道	vssvpohcdckz#序52000
中岁颇好道	vssvpohcdcuz#序52000
晚家南山陲	wjjxnjujivoe#序52000
晚家南山陲	wjjxnjujivre#序52000
兴来每独往	xkldmwduwhbr#序52000
兴来每独往	xkldmwduwhbx#序52000
兴来每独往	xkldmwduwhdr#序52000
兴来每独往	xkldmwduwhdx#序52000
胜事空自知	uguiksziviok#序52000
胜事空自知	uguiksziviou#序52000
胜事空自知	uguiksziviyk#序52000
胜事空自知	uguiksziviyu#序52000
行到水穷处	xkdcuvqsiurw#序52000
行到水穷处	xkdcuvqsiuxw#序52000
偶然值林叟	ourjvilbszrj#序52000
偶然值林叟	ourjvilbszry#序52000
谈笑无还期	tjxnwuhdqiyo#序52000
谈笑无还期	tjxnwuhdqiyq#序52000
谈笑无还期	tjxnwuhdqiyy#序52000
八月湖水平	baythuuvpkpa#序52000
八月湖水平	baythuuvpkpg#序52000
八月湖水平	baythuuvpkph#序52000
涵虚混太清	hjxuhytdqkdd#序52000
气蒸云梦泽	qivgyymgzepd#序52000
气蒸云梦泽	qivgyymgzerd#序52000
波撼岳阳城	bohjytyhigdt#序52000
欲济无舟楫	yujiwuvzjigm#序52000
欲济无舟楫	yujiwuvzjiqm#序52000
端居耻圣明	drjuiiugmklo#序52000
端居耻圣明	drjuiiugmklr#序52000
坐观垂钓者	zogrivdnverl#序52000
坐观垂钓者	zogrivdnvero#序52000
坐观垂钓者	zogrivdnverr#序52000
坐观垂钓者	zogrivdnvetl#序52000
坐观垂钓者	zogrivdnveto#序52000
坐观垂钓者	zogrivdnvetr#序52000
徒有羡鱼情	tuyzxmyuqkrx#序52000
徒有羡鱼情	tuyzxmyuqkxx#序52000
人事有代谢	rfuiyzddxppy#序52000
往来成古今	whldiggujbrr#序52000
往来成古今	whldiggujbxr#序52000
江山留胜迹	jlujlqugjidz#序52000
我辈复登临	wobwfudglbpa#序52000
我辈复登临	wobwfudglbpd#序52000
我辈复登临	wobwfudglbpu#序52000
水落鱼梁浅	uvloyullqmud#序52000
水落鱼梁浅	uvloyullqmad#序52000
天寒梦泽深	tmhjmgzeufad#序52000
天寒梦泽深	tmhjmgzeufhd#序52000
羊公碑尚在	yhgsbwuhzddt#序52000
羊公碑尚在	yhgsbwuhzddu#序52000
读罢泪沾巾	dubalwvjjbya#序52000
读罢泪沾巾	dubalwvjjbyu#序52000
林卧愁春尽	lbwoiziyjbmi#序52000
搴帷见物华	qmwwjmwuhxbu#序52000
搴帷见物华	qmwwjmwuhxuu#序52000
忽逢青鸟使	hufgqknnuixr#序52000
邀入赤松家	ycruiissjxzb#序52000
金灶初开火	jbzciukdhopd#序52000
金灶初开火	jbzciukdhord#序52000
仙桃正发花	xmtcvgfahxrc#序52000
童颜若可驻	tsyjrokevulm#序52000
何惜醉流霞	hexizvlqxxry#序52000
岁暮归南山	svmugvnjujua#序52000
岁暮归南山	svmugvnjujuu#序52000
北阙休上书	bwqtxquhuuaa#序52000
北阙休上书	bwqtxquhuuav#序52000
北阙休上书	bwqtxquhuuba#序52000
北阙休上书	bwqtxquhuubv#序52000
北阙休上书	bwqtxquhuuha#序52000
北阙休上书	bwqtxquhuuhv#序52000
南山归敝庐	njujgvbiluug#序52000
不才明主弃	bucdmkvuqiac#序52000
不才明主弃	bucdmkvuqiad#序52000
不才明主弃	bucdmkvuqiaw#序52000
不才明主弃	bucdmkvuqihc#序52000
不才明主弃	bucdmkvuqihd#序52000
不才明主弃	bucdmkvuqihw#序52000
多病故人疏	dobkgurfuuxa#序52000
多病故人疏	dobkgurfuuxp#序52000
多病故人疏	dobkgurfuuxv#序52000
白发催年老	bdfacvnmlcpb#序52000
白发催年老	bdfacvnmlcpl#序52000
青阳逼岁除	qkyhbisviufe#序52000
青阳逼岁除	qkyhbisviuoe#序52000
青阳逼岁除	qkyhbisviuye#序52000
永怀愁不寐	yshkizbumwdb#序52000
松月夜窗虚	ssytyeilxumh#序52000
故人具鸡黍	gurfjujiuuwh#序52000
故人具鸡黍	gurfjujiuuwu#序52000
邀我至田家	ycwovitmjxzb#序52000
绿树村边合	lvuucybmhesr#序52000
青山郭外斜	qkujgowdxpfd#序52000
青山郭外斜	qkujgowdxpod#序52000
青山郭外斜	qkujgowdxpyd#序52000
开轩面场圃	kdxrmmihpuak#序52000
开轩面场圃	kdxrmmihpuhk#序52000
把酒话桑麻	bajqhxshmafg#序52000
把酒话桑麻	bajqhxshmatg#序52000
待到重阳日	dddcisyhriro#序52000
待到重阳日	dddcisyhrirr#序52000
待到重阳日	dddcisyhrira#序52000
待到重阳日	dddcisyhriru#序52000
待到重阳日	dddcisyhrixo#序52000
待到重阳日	dddcisyhrixr#序52000
待到重阳日	dddcisyhrixa#序52000
待到重阳日	dddcisyhrixu#序52000
还来就菊花	hdldjqjuhxzc#序52000
一丘常欲卧	yiqqihyuwoab#序52000
一丘常欲卧	yiqqihyuwoai#序52000
一丘常欲卧	yiqqihyuwohb#序52000
一丘常欲卧	yiqqihyuwohi#序52000
三径苦无资	sjjkkuwuziab#序52000
三径苦无资	sjjkkuwuzihb#序52000
北土非吾愿	bwtufwwuyrax#序52000
北土非吾愿	bwtufwwuyrbx#序52000
北土非吾愿	bwtufwwuyrhx#序52000
东林怀我师	dslbhkwouiaa#序52000
东林怀我师	dslbhkwouiad#序52000
东林怀我师	dslbhkwouiau#序52000
东林怀我师	dslbhkwouiha#序52000
东林怀我师	dslbhkwouihd#序52000
东林怀我师	dslbhkwouihu#序52000
东林怀我师	dslbhkwouiqa#序52000
东林怀我师	dslbhkwouiqd#序52000
东林怀我师	dslbhkwouiqu#序52000
黄金燃桂尽	hljbrjgvjbai#序52000
黄金燃桂尽	hljbrjgvjbci#序52000
黄金燃桂尽	hljbrjgvjbhi#序52000
壮志逐年衰	vlvivunmukjd#序52000
壮志逐年衰	vlvivunmukjw#序52000
壮志逐年衰	vlvivunmukjy#序52000
壮志逐年衰	vlvivunmukpd#序52000
壮志逐年衰	vlvivunmukpw#序52000
壮志逐年衰	vlvivunmukpy#序52000
壮志逐年衰	vlvivunmukud#序52000
壮志逐年衰	vlvivunmukuw#序52000
壮志逐年衰	vlvivunmukuy#序52000
日夕凉风至	rixillfgviot#序52000
日夕凉风至	rixillfgviov#序52000
日夕凉风至	rixillfgvirt#序52000
日夕凉风至	rixillfgvirv#序52000
日夕凉风至	rixillfgviat#序52000
日夕凉风至	rixillfgviav#序52000
日夕凉风至	rixillfgviut#序52000
日夕凉风至	rixillfgviuv#序52000
闻蝉但益悲	wfijdjyibwef#序52000
闻蝉但益悲	wfijdjyibwex#序52000
闻蝉但益悲	wfijdjyibwmf#序52000
闻蝉但益悲	wfijdjyibwmx#序52000
山暝听猿愁	ujmktkyrizax#序52000
山暝听猿愁	ujmktkyrizux#序52000
沧江急夜流	chjljiyelqdd#序52000
风鸣两岸叶	fgmkllanyejk#序52000
月照一孤舟	ytvcyiguvzop#序52000
月照一孤舟	ytvcyiguvzyp#序52000
月照一孤舟	ytvcyiguvzpp#序52000
建德非吾土	jmdefwwutuza#序52000
建德非吾土	jmdefwwutuzh#序52000
维扬忆旧游	wwyhyijqyzsd#序52000
还将两行泪	hdjlllxklwzd#序52000
遥寄海西头	ycjihdxitzzd#序52000
寂寂竟何待	jijijkheddbr#序52000
寂寂竟何待	jijijkheddbx#序52000
朝朝空自归	icickszigvoa#序52000
朝朝空自归	icickszigvod#序52000
朝朝空自归	icickszigvou#序52000
朝朝空自归	icickszigvua#序52000
朝朝空自归	icickszigvud#序52000
朝朝空自归	icickszigvuu#序52000
朝朝空自归	icickszigvya#序52000
朝朝空自归	icickszigvyd#序52000
朝朝空自归	icickszigvyu#序52000
欲寻芳草去	yuxyfhccqugt#序52000
欲寻芳草去	yuxyfhccquqt#序52000
惜与故人违	xiyugurfwwxz#序52000
当路谁相假	dhluuvxljxxr#序52000
知音世所稀	viybuisoxikh#序52000
知音世所稀	viybuisoxiuh#序52000
只应守寂寞	viykuzjimokb#序52000
还掩故园扉	hdyjguyrfwzh#序52000
木落雁南渡	muloyjnjduad#序52000
木落雁南渡	muloyjnjduhd#序52000
北风江上寒	bwfgjluhhjab#序52000
北风江上寒	bwfgjluhhjbb#序52000
北风江上寒	bwfgjluhhjhb#序52000
我家襄水曲	wojxxluvqupa#序52000
我家襄水曲	wojxxluvqupo#序52000
我家襄水曲	wojxxluvqupr#序52000
我家襄水曲	wojxxluvqupu#序52000
遥隔楚云端	ycgeiuyydrzl#序52000
乡泪客中尽	xllwkevsjbai#序52000
乡泪客中尽	xllwkevsjbvi#序52000
孤帆天际看	gufjtmjikjzo#序52000
孤帆天际看	gufjtmjikjzu#序52000
迷津欲有问	mijbyuyzwfzk#序52000
迷津欲有问	mijbyuyzwfzm#序52000
平海夕漫漫	pkhdximjmjad#序52000
平海夕漫漫	pkhdximjmjgd#序52000
平海夕漫漫	pkhdximjmjhd#序52000
古台摇落后	gutdyclohzup#序52000
秋入望乡心	qqruwhxlxbhd#序52000
野寺来人少	yesildrfuclx#序52000
野寺来人少	yesildrfucyx#序52000
云峰隔水深	yyfggeuvufed#序52000
云峰隔水深	yyfggeuvufsd#序52000
夕阳依旧垒	xiyhyijqlwps#序52000
夕阳依旧垒	xiyhyijqlwpt#序52000
寒磬满空林	hjqkmjkslbbm#序52000
惆怅南朝事	izihnjicuixa#序52000
惆怅南朝事	izihnjicuixh#序52000
长江独自今	ihjlduzijbpr#序52000
流落征南将	lqlovgnjjldd#序52000
流落征南将	lqlovgnjjldj#序52000
流落征南将	lqlovgnjjldp#序52000
曾驱十万师	cgquuiwjuiba#序52000
曾驱十万师	cgquuiwjuibd#序52000
曾驱十万师	cgquuiwjuibu#序52000
曾驱十万师	cgquuiwjuioa#序52000
曾驱十万师	cgquuiwjuiod#序52000
曾驱十万师	cgquuiwjuiou#序52000
曾驱十万师	cgquuiwjuira#序52000
曾驱十万师	cgquuiwjuird#序52000
曾驱十万师	cgquuiwjuiru#序52000
罢官无旧业	bagrwujqyesa#序52000
罢官无旧业	bagrwujqyesu#序52000
老去恋明时	lcqulmmkuibo#序52000
老去恋明时	lcqulmmkuibr#序52000
老去恋明时	lcqulmmkuilo#序52000
老去恋明时	lcqulmmkuilr#序52000
独立三边静	dulisjbmjkqq#序52000
轻生一剑知	qkugyijmviik#序52000
轻生一剑知	qkugyijmviiu#序52000
茫茫江汉上	mhmhjlhjuhca#序52000
茫茫江汉上	mhmhjlhjuhcb#序52000
茫茫江汉上	mhmhjlhjuhcu#序52000
日暮欲何之	rimuyuheviod#序52000
日暮欲何之	rimuyuhevird#序52000
日暮欲何之	rimuyuheviad#序52000
日暮欲何之	rimuyuheviud#序52000
望君烟水阔	whjyyjuvkowm#序52000
浑手泪沾巾	hyuzlwvjjbda#序52000
浑手泪沾巾	hyuzlwvjjbdu#序52000
飞鸟没何处	fwnnmwheiuyw#序52000
青山空向人	qkujksxlrffp#序52000
青山空向人	qkujksxlrfop#序52000
青山空向人	qkujksxlrfyp#序52000
长江一帆远	ihjlyifjyrpz#序52000
落日五湖春	loriwuhuiycf#序52000
落日五湖春	loriwuhuiyco#序52000
落日五湖春	loriwuhuiycr#序52000
谁见汀洲上	uvjmtkvzuhya#序52000
谁见汀洲上	uvjmtkvzuhyb#序52000
谁见汀洲上	uvjmtkvzuhyu#序52000
相思愁白苹	xlsiizbdpkmc#序52000
一路经行处	yilujkxkiuaw#序52000
一路经行处	yilujkxkiuhw#序52000
莓苔见屐痕	mwtdjmjihfcb#序52000
白云依静渚	bdyyyijkvupd#序52000
芳草闭闲门	fhccbixmmfcd#序52000
过雨看松色	goyukjsssezd#序52000
随山到水源	svujdcuvyred#序52000
溪花与禅意	xihxyuijyidl#序52000
溪花与禅意	xihxyuijyidx#序52000
相对亦忘言	xldvyiwhyjmd#序52000
相对亦忘言	xldvyiwhyjmw#序52000
乡心新岁切	xlxbxbsvqpad#序52000
乡心新岁切	xlxbxbsvqpaq#序52000
乡心新岁切	xlxbxbsvqpvd#序52000
乡心新岁切	xlxbxbsvqpvq#序52000
天畔独潸然	tmpjduujrjad#序52000
天畔独潸然	tmpjduujrjah#序52000
天畔独潸然	tmpjduujrjhd#序52000
天畔独潸然	tmpjduujrjhh#序52000
老至居人下	lcvijurfxxba#序52000
老至居人下	lcvijurfxxbh#序52000
老至居人下	lcvijurfxxla#序52000
老至居人下	lcvijurfxxlh#序52000
春归在客先	iygvzdkexmfe#序52000
春归在客先	iygvzdkexmfn#序52000
春归在客先	iygvzdkexmoe#序52000
春归在客先	iygvzdkexmon#序52000
春归在客先	iygvzdkexmre#序52000
春归在客先	iygvzdkexmrn#序52000
岭猿同旦暮	lkyrtsdjmuuc#序52000
岭猿同旦暮	lkyrtsdjmuuo#序52000
岭猿同旦暮	lkyrtsdjmuur#序52000
江柳共风烟	jllqgsfgyjdh#序52000
已似长沙傅	yiuiihuafuar#序52000
已似长沙傅	yiuiihuafuvr#序52000
从今又几年	csjbyzjinmrp#序52000
从今又几年	csjbyzjinmrr#序52000
送僧归日本	sssggvribfza#序52000
送僧归日本	sssggvribfzh#序52000
送僧归日本	sssggvribfzm#序52000
上国随缘住	uhgosvyrvuar#序52000
上国随缘住	uhgosvyrvubr#序52000
上国随缘住	uhgosvyrvuur#序52000
来途若梦行	ldturomgxkar#序52000
来途若梦行	ldturomgxkax#序52000
来途若梦行	ldturomgxkhr#序52000
来途若梦行	ldturomgxkhx#序52000
来途若梦行	ldturomgxkwr#序52000
来途若梦行	ldturomgxkwx#序52000
浮天沧海远	futmchhdyrdz#序52000
去世法舟轻	quuifavzqkti#序52000
水月通禅寂	uvyttsijjiub#序52000
水月通禅寂	uvyttsijjiab#序52000
鱼龙听梵声	yulstkfjugdu#序52000
惟怜一灯影	wwlmyidgykxp#序52000
万里眼中明	wjliyjvsmkao#序52000
万里眼中明	wjliyjvsmkar#序52000
万里眼中明	wjliyjvsmkho#序52000
万里眼中明	wjliyjvsmkhr#序52000
泉壑带茅茨	qrheddmccibc#序52000
泉壑带茅茨	qrheddmcciuc#序52000
云霞生薜帷	yyxxugbiwwej#序52000
云霞生薜帷	yyxxugbiwwsj#序52000
竹怜新雨后	vulmxbyuhzpp#序52000
竹怜新雨后	vulmxbyuhzvp#序52000
山爱夕阳时	ujaixiyhuiao#序52000
山爱夕阳时	ujaixiyhuiar#序52000
山爱夕阳时	ujaixiyhuiuo#序52000
山爱夕阳时	ujaixiyhuiur#序52000
闲鹭栖常早	xmluqiihzcmo#序52000
闲鹭栖常早	xmluqiihzcmr#序52000
秋花落更迟	qqhxloggiihz#序52000
家僮扫罗径	jxtssclojkbr#序52000
家僮扫罗径	jxtssclojkbx#序52000
昨与故人期	zoyugurfqioo#序52000
昨与故人期	zoyugurfqioq#序52000
昨与故人期	zoyugurfqioy#序52000
昨与故人期	zoyugurfqiro#序52000
昨与故人期	zoyugurfqirq#序52000
昨与故人期	zoyugurfqiry#序52000
江汉曾为客	jlhjcgwwkedb#序52000
相逢每醉还	xlfgmwzvhdmz#序52000
浮云一别后	fuyyyibphzdp#序52000
流水十年间	lquvuinmjmdm#序52000
流水十年间	lquvuinmjmdo#序52000
流水十年间	lquvuinmjmdr#序52000
欢笑情如旧	hrxnqkrujqya#序52000
欢笑情如旧	hrxnqkrujqyu#序52000
萧疏鬓已斑	xnuubbyibjcw#序52000
何因北归去	heybbwgvqurt#序52000
淮上对秋山	hkuhdvqqujda#序52000
淮上对秋山	hkuhdvqqujdu#序52000
楚江微雨里	iujlwwyulima#序52000
楚江微雨里	iujlwwyulimt#序52000
楚江微雨里	iujlwwyulimu#序52000
楚江微雨里	iujlwwyulipa#序52000
楚江微雨里	iujlwwyulipt#序52000
楚江微雨里	iujlwwyulipu#序52000
建业暮钟时	jmyemuvsuizo#序52000
建业暮钟时	jmyemuvsuizr#序52000
漠漠帆来重	momofjldvsdp#序52000
冥冥鸟去迟	mkmknnquiibz#序52000
海门深不见	hdmfufbujmda#序52000
海门深不见	hdmfufbujmde#序52000
海门深不见	hdmfufbujmdk#序52000
海门深不见	hdmfufbujmdu#序52000
浦树远含滋	puuuyrhjzidd#序52000
相送情无限	xlssqkwuxmme#序52000
沾襟比散丝	vjjbbisjsida#序52000
沾襟比散丝	vjjbbisjsidh#序52000
长簟迎风早	vhdmykfgzcpo#序52000
长簟迎风早	vhdmykfgzcpr#序52000
空城澹月华	ksigdjythxbu#序52000
空城澹月华	ksigdjythxxu#序52000
星河秋一雁	xkheqqyiyjoi#序52000
星河秋一雁	xkheqqyiyjri#序52000
砧杵夜千家	vfiuyeqmjxub#序52000
节候看应晚	jphzkjykwjco#序52000
节候看应晚	jphzkjykwjcr#序52000
心期卧已赊	xbqiwoyiuedb#序52000
向来吟秀句	xlldybxqjupb#序52000
向来吟秀句	xlldybxqjupg#序52000
向来吟秀句	xlldybxqjupk#序52000
向来吟秀句	xlldybxqjupp#序52000
不觉已鸣鸦	bujtyimkyaan#序52000
不觉已鸣鸦	bujtyimkyaay#序52000
不觉已鸣鸦	bujtyimkyahn#序52000
不觉已鸣鸦	bujtyimkyahy#序52000
道由白云尽	dcyzbdyyjbzi#序52000
春与清溪长	iyyuqkxivhfp#序52000
春与清溪长	iyyuqkxivhop#序52000
春与清溪长	iyyuqkxivhrp#序52000
时有落花至	uiyzlohxviot#序52000
时有落花至	uiyzlohxviov#序52000
时有落花至	uiyzlohxvirt#序52000
时有落花至	uiyzlohxvirv#序52000
远随流水香	yrsvlquvxlzh#序52000
闲门向山路	xmmfxlujlumz#序52000
深柳读书堂	uflqduuuthdd#序52000
深柳读书堂	uflqduuuthdt#序52000
深柳读书堂	uflqduuuthdx#序52000
幽映每白日	yzykmwbdriuo#序52000
幽映每白日	yzykmwbdriur#序52000
幽映每白日	yzykmwbdriua#序52000
幽映每白日	yzykmwbdriuu#序52000
清辉照衣裳	qkhvvcyiuhdd#序52000
清辉照衣裳	qkhvvcyiuhdx#序52000
清辉照衣裳	qkhvvcyiuhdy#序52000
天秋月又满	tmqqytyzmjad#序52000
天秋月又满	tmqqytyzmjhd#序52000
城阙夜千重	igqtyeqmvstp#序52000
还作江南会	hdzojlnjhvzr#序52000
翻疑梦里逢	fjyimglifgyz#序52000
风枝惊暗鹊	fgvijkanqtjn#序52000
露草覆寒虫	luccfuhjisya#序52000
露草覆寒虫	luccfuhjisyu#序52000
露草覆寒虫	luccfuhjisyv#序52000
羁旅长堪醉	jilvvhkjzvsy#序52000
相留畏晓钟	xllqwwxnvsmj#序52000
故关衰草遍	gugrukccbmwz#序52000
离别正堪悲	libpvgkjbwdf#序52000
离别正堪悲	libpvgkjbwdx#序52000
离别正堪悲	libpvgkjbwwf#序52000
离别正堪悲	libpvgkjbwwx#序52000
路出寒云外	luiuhjyywdzx#序52000
人归暮雪时	rfgvmuxtuipo#序52000
人归暮雪时	rfgvmuxtuipr#序52000
少孤为客早	ucguwwkezcxo#序52000
少孤为客早	ucguwwkezcxr#序52000
多难识君迟	donjuijyiixz#序52000
掩泣空相向	yjqiksxlxlfp#序52000
掩泣空相向	yjqiksxlxltp#序52000
风尘何所期	fgifhesoqijo#序52000
风尘何所期	fgifhesoqijq#序52000
风尘何所期	fgifhesoqijy#序52000
十年离乱后	uinmlilrhzap#序52000
十年离乱后	uinmlilrhzhp#序52000
长大一相逢	vhdayixlfgpz#序52000
问姓惊初见	wfxkjkiujmka#序52000
问姓惊初见	wfxkjkiujmke#序52000
问姓惊初见	wfxkjkiujmkk#序52000
问姓惊初见	wfxkjkiujmku#序52000
问姓惊初见	wfxkjkiujmma#序52000
问姓惊初见	wfxkjkiujmme#序52000
问姓惊初见	wfxkjkiujmmk#序52000
