---config@码表分类=主码-5
---config@允许编辑=是
---config@码表别名=系统词组
就是	jquiwo#序60000
穿好	irhcbn#序60000
穿行	irxkbi#序60000
血糖	xtthpm#序60000
进驻	jbvuzm#序60000
那台	natdvs#序60000
首选	uzxrbz#序60000
家对	jxdvby#序60000
之最	vizvdo#序60000
则不	zebuka#序60000
选课	xrkezy#序60000
比高	bigcbw#序60000
中联	vslmle#序60000
达三	dasjza#序60000
在脸	zdlmuo#序60000
钢化	ghhxjr#序60000
荣成	rsigcw#序60000
皮特	pitevn#序60000
与爱	yuaiap#序60000
奶瓶	ndpknb#序60000
带电	dddmfl#序60000
会笑	hvxnrv#序60000
很轻	hfqkii#序60000
好老	hclcnl#序60000
生说	uguopy#序60000
和正	hevgha#序60000
里拿	linalr#序60000
说刚	uoghyk#序60000
忙不	mhbuxa#序60000
就抓	jqvxwf#序60000
办多	bjdolx#序60000
没送	mwssdz#序60000
家辉	jxhvbx#序60000
腿疼	tvtgob#序60000
化肥	hxfwro#序60000
赶了	gjletv#序60000
目击	mujika#序60000
又为	yzwwvd#序60000
天时	tmuiao#序60000
生姜	ugjlpy#序60000
齐了	qilewv#序60000
养鱼	yhyuyd#序60000
捡了	jmlefv#序60000
猫眼	mcyjqo#序60000
天华	tmhxar#序60000
撞伤	vluhfr#序60000
榆树	yuuumm#序60000
塞车	sdieba#序60000
安上	anuhbl#序60000
三折	sjveaf#序60000
灰狼	hvlhuq#序60000
大胸	daxsuo#序60000
小辉	xnhvlx#序60000
铁罐	tpgrjf#序60000
复利	fuliph#序60000
然你	rjnipr#序60000
在办	zdbjul#序60000
对之	dvviyd#序60000
哪句	najukb#序60000
了同	letsvk#序60000
里买	limdlv#序60000
比它	bitabb#序60000
度了	dulegv#序60000
而如	erruan#序60000
是城	uiigot#序60000
不傻	buuaar#序60000
您慢	nbmjrx#序60000
带泪	ddlwfd#序60000
洛洛	lolodd#序60000
玛特	matewn#序60000
四多	sidokx#序60000
家他	jxtabr#序60000
公募	gsmubc#序60000
那趟	nathvt#序60000
歌停	getkar#序60000
笨呐	bfnavk#序60000
滚远	gyyrdz#序60000
那办	nabjvl#序60000
看哈	kjhauk#序60000
闪付	ujfumr#序60000
信赖	xbldru#序60000
养育	yhyuyw#序60000
冰棍	bkgydm#序60000
减缓	jmhrds#序60000
功率	gslvgw#序60000
印记	ybjipy#序60000
却让	qtrhty#序60000
发病	fabkvb#序60000
吃力	iilikv#序60000
吭声	kgugku#序60000
奈何	ndhedr#序60000
山坡	ujpolt#序60000
底片	dipmgp#序60000
忽视	huuiwp#序60000
折叠	vedpfy#序60000
抛售	pcuzfr#序60000
摩登	modggv#序60000
播种	bovsfh#序60000
收留	uzlqvp#序60000
新潮	xbicld#序60000
方舟	fhvzdp#序60000
求救	qqjqaq#序60000
烟草	yjcchc#序60000
特快	tekknx#序60000
狭窄	xxvdqb#序60000
电阻	dmzule#序60000
礼服	lifupo#序60000
精美	jkmwmy#序60000
考量	kcllld#序60000
考量	kclllo#序60000
肝癌	gjaiob#序60000
蓝屏	ljpkcu#序60000
记号	jihcyk#序60000
贯彻	grievi#序60000
轻柔	qkrzis#序60000
邋遢	latazz#序60000
长肉	vhrzpn#序60000
问答	wfdamv#序60000
阿婆	aapoed#序60000
陕北	ujbwel#序60000
露面	lzmmya#序60000
之风	vifgdj#序60000
来救	ldjqaq#序60000
人从	rfcspr#序60000
该市	gduiyw#序60000
层楼	cglzum#序60000
之梦	vimgdm#序60000
得对	dedviy#序60000
这股	veguzo#序60000
见这	jmvekz#序60000
店开	dmkdga#序60000
别拿	bpnakr#序60000
观潮	gricyd#序60000
不更	buggaa#序60000
选个	xrgezr#序60000
对哈	dvhayk#序60000
干吧	gjbaak#序60000
岐山	qiujel#序60000
米八	mibadp#序60000
和特	hetehn#序60000
给爱	gwaisp#序60000
单卡	djkabu#序60000
木椅	muyium#序60000
木椅	muyiam#序60000
五种	wuvsah#序60000
插着	iavefy#序60000
都谁	dzuwly#序60000
清纯	qkiyds#序60000
已达	yidavz#序60000
远去	yrquzt#序60000
趋于	quyuta#序60000
合集	hejirr#序60000
会话	hvhxry#序60000
大马	damauv#序60000
瘦小	uzxnbl#序60000
杏仁	xkrfmr#序60000
芊芊	qmqmcc#序60000
断掉	drdnmf#序60000
靠背	kcbwnl#序60000
瘦脸	uzlmbo#序60000
也自	yezivp#序60000
秋意	qqyihl#序60000
活鱼	hoyudd#序60000
西口	xikzal#序60000
想认	xlrfmy#序60000
改好	gdhcjn#序60000
选上	xruhzl#序60000
挺热	tkreff#序60000
度和	duhegh#序60000
力是	liuivo#序60000
代发	ddfarv#序60000
也愿	yeyrvi#序60000
有叫	yzjnuk#序60000
再聚	zdjuae#序60000
搞搞	gcgcff#序60000
查吧	iabamk#序60000
场戏	ihxity#序60000
木木	mumuuu#序60000
木木	mumuua#序60000
木木	mumuau#序60000
木木	mumuaa#序60000
三电	sjdmal#序60000
挣个	vggefr#序60000
生缘	ugyrps#序60000
民宿	mbsuvb#序60000
官微	grwwbi#序60000
给哥	gwgesa#序60000
给哥	gwgesd#序60000
多贵	dogvxv#序60000
下令	xxlkar#序60000
下海	xxhdad#序60000
两旁	llphaw#序60000
修身	xqufrp#序60000
兖州	yjvzwd#序60000
八旬	baxypb#序60000
取证	quvgey#序60000
后排	hzpdpf#序60000
器械	qixpkm#序60000
备胎	bwtdwo#序60000
好意	hcyinl#序60000
定格	dkgebm#序60000
并列	bklpbd#序60000
很胖	hfphio#序60000
招标	vcbnfm#序60000
挚爱	viaifp#序60000
母猪	muvuvq#序60000
气压	qiyapi#序60000
湘菜	xlcddc#序60000
猪肚	vuduqo#序60000
献上	xmuhul#序60000
用以	ysyikv#序60000
疏通	uutsvz#序60000
种菜	vscdhc#序60000
笔画	bihxva#序60000
职称	viigeh#序60000
肉类	rzlwnm#序60000
肝脏	gjzhoo#序60000
费钱	fwqmfj#序60000
赶往	gjwhti#序60000
起早	qizcto#序60000
边疆	bmjlzg#序60000
远看	yrkjzu#序60000
陪同	pwtsek#序60000
飘着	pnvexy#序60000
出处	iuiuvw#序60000
税费	uvfwhf#序60000
将从	jlcsdr#序60000
教您	jnnblr#序60000
华联	hxlmre#序60000
掠过	ltgofz#序60000
我累	wolwpt#序60000
请让	qkrhyy#序60000
加多	jxdolx#序60000
江面	jlmmda#序60000
试音	uiybyl#序60000
少呢	ucnexk#序60000
恩那	ennakv#序60000
看车	kjieua#序60000
期都	qidzql#序60000
放置	fhvifs#序60000
结成	jpigsw#序60000
他向	taxlrp#序60000
执导	vidcfs#序60000
捉住	vovufr#序60000
发短	fadrvu#序60000
那支	navivu#序60000
中新	vsxbll#序60000
你知	niviru#序60000
大网	dawhuk#序60000
鸣叫	mkjnkk#序60000
升职	ugvipe#序60000
直发	vifauv#序60000
琳琳	lblbww#序60000
金鼎	jbdkro#序60000
生地	ugdipt#序60000
师哥	uigela#序60000
师哥	uigeld#序60000
煮粥	vuvzlg#序60000
打火	dahofd#序60000
木林	mulbum#序60000
木林	mulbam#序60000
干贝	gjbwak#序60000
志华	vihxur#序60000
有眼	yzyjuo#序60000
别着	bpveky#序60000
三宝	sjbcab#序60000
几米	jimipd#序60000
还讲	hdjlzy#序60000
六行	lqxkwi#序60000
福山	fuujpl#序60000
和战	hevjhl#序60000
有资	yzziud#序60000
来出	ldiuav#序60000
待过	ddgoiz#序60000
不超	buicat#序60000
节是	jpuico#序60000
下会	xxhvar#序60000
她先	taxmnn#序60000
没离	mwlidw#序60000
现用	xmyswk#序60000
一做	yizoar#序60000
晚晚	wjwjoo#序60000
拉小	laxnfl#序60000
灵歌	lkgeea#序60000
十台	uitdas#序60000
完赛	wjsdbb#序60000
高进	gcjbwz#序60000
基友	jiyzqu#序60000
蒋欣	jlxbcj#序60000
胆儿	djerop#序60000
小瓜	xngxlp#序60000
体面	timmra#序60000
动词	dsciey#序60000
受苦	uzkupc#序60000
古老	gulcul#序60000
司徒	situvi#序60000
咒语	vzyuky#序60000
国税	gouvkh#序60000
圆梦	yrmgkm#序60000
地形	dixktk#序60000
大堂	dathux#序60000
女皇	nvhlvb#序60000
巡回	xyhvzk#序60000
抖动	dzdsfe#序60000
撞墙	vlqlft#序60000
杜鹃	dujrmk#序60000
树苗	uumnmc#序60000
眼圈	yjqrok#序60000
端庄	drvllg#序60000
罪恶	zveesy#序60000
翻新	fjxbpl#序60000
花掉	hxdncf#序60000
花草	hxcccc#序60000
被套	bwtcpd#序60000
西天	xitmaa#序60000
超额	iceetb#序60000
输送	uussiz#序60000
退伍	tvwuzr#序60000
递送	disszz#序60000
金牛	jbnqrp#序60000
铁头	tptzjd#序60000
铁血	tpxtjp#序60000
预先	yuxmsn#序60000
鸟人	nnrfpp#序60000
鸟人	nnrfwp#序60000
麻醉	mazvgy#序60000
政法	vgfavd#序60000
也已	yeyivv#序60000
专场	vrihat#序60000
格尔	geermd#序60000
多但	dodjxr#序60000
分院	ffyrbe#序60000
一团	yitrak#序60000
同我	tswokp#序60000
欢歌	hrgeya#序60000
他点	tadmrl#序60000
说而	uoerya#序60000
假发	jxfarv#序60000
球上	qquhwl#序60000
少看	uckjxu#序60000
当女	dhnvxv#序60000
留我	lqwopp#序60000
与少	yuucax#序60000
再调	zddnay#序60000
就谈	jqtjwy#序60000
快歌	kkgexa#序60000
爱唱	aiihpk#序60000
猫叫	mcjnqk#序60000
使其	uiqirq#序60000
称作	igzohr#序60000
学时	xtuixo#序60000
收视	uzuivp#序60000
暴涨	bcvhod#序60000
黄帝	hldicw#序60000
痒痒	yhyhbb#序60000
实实	uiuibb#序60000
来作	ldzoar#序60000
打赌	dadufk#序60000
壮士	vluidu#序60000
林家	lbjxmb#序60000
泳衣	ysyidw#序60000
发回	fahvvk#序60000
全胜	qrugro#序60000
保荐	bcjmrc#序60000
停着	tkvery#序60000
出油	iuyzvd#序60000
接人	jprffp#序60000
这九	vejqzp#序60000
醉拳	zvqryj#序60000
次次	cicidd#序60000
当是	dhuixo#序60000
东到	dsdcaa#序60000
几期	jiqipq#序60000
六集	lqjiwr#序60000
和基	hejihq#序60000
加坡	jxpolt#序60000
过对	godvzy#序60000
期有	qiyzqu#序60000
事多	uidoax#序60000
连这	lmvezz#序60000
六米	lqmiwd#序60000
管儿	grervp#序60000
天回	tmhvak#序60000
零秒	lkmnyh#序60000
零日	lkriyk#序60000
宝强	bcqlbg#序60000
人站	rfvjpl#序60000
请换	qkhryf#序60000
书旗	uuqivf#序60000
下部	xxbual#序60000
中餐	vscjll#序60000
习性	xixkvx#序60000
从没	csmwrd#序60000
仙子	xmzirv#序60000
任职	rfvire#序60000
作息	zoxirz#序60000
凹凸	aotull#序60000
发钱	faqmvj#序60000
可靠	kekcdn#序60000
商旅	uhlvwf#序60000
宣告	xrgcbn#序60000
对称	dvifyh#序60000
并存	bkcybu#序60000
彰显	vhxmlo#序60000
惆怅	izihxx#序60000
手背	uzbwpl#序60000
时速	uisuoz#序60000
暂不	zjbuia#序60000
暗中	anvsol#序60000
概括	gdkomf#序60000
泡在	pczddu#序60000
海啸	hdxndk#序60000
漂浮	pnfudd#序60000
火炉	holudh#序60000
畸形	jixktk#序60000
白水	bduvpl#序60000
磕头	ketzud#序60000
稽查	jiiahm#序60000
笔录	biluve#序60000
老街	lcjpli#序60000
臭屁	izpizu#序60000
解压	jpyadi#序60000
谜底	midiyg#序60000
贩子	fjzikv#序60000
铺垫	pudmjf#序60000
预案	yuansb#序60000
单项	djxlbg#序60000
售房	uzfhrh#序60000
心如	xbrudn#序60000
金鹰	jbykrg#序60000
如歌	rugena#序60000
彼得	bideii#序60000
得可	dekeid#序60000
磨练	molmgs#序60000
在港	zdghud#序60000
管得	grdevi#序60000
跑掉	pcdnzf#序60000
瞧你	qnnior#序60000
五秒	wumnah#序60000
康康	khkhgg#序60000
了宝	lebcvb#序60000
您因	nbybrk#序60000
对产	dvijyl#序60000
来台	ldtdas#序60000
卡比	kabiub#序60000
春泥	iynifd#序60000
吹一	ivyika#序60000
这后	vehzzp#序60000
给两	gwllsa#序60000
他站	tavjrl#序60000
把海	bahdfd#序60000
长腿	vhtvpo#序60000
被谁	bwuwpy#序60000
南镇	njvfuj#序60000
审视	ufuibp#序60000
升至	ugvipa#序60000
传了	irlerv#序60000
这颗	vekezg#序60000
出外	iuwdvx#序60000
东华	dshxar#序60000
庭审	tkufgb#序60000
德行	dexkii#序60000
三甲	sjjxal#序60000
画得	hxdeai#序60000
小华	xnhxlr#序60000
建新	jmxbzl#序60000
闻着	wfvemy#序60000
配了	pwleyv#序60000
嘀嘀	didikk#序60000
小曲	xnqull#序60000
朱家	vujxpb#序60000
朱家	vujxnb#序60000
待售	dduzir#序60000
和深	heufhd#序60000
用下	ysxxka#序60000
刚接	ghjpkf#序60000
她同	tatsnk#序60000
很瘦	hfuzib#序60000
半程	bjigdh#序60000
是民	uimbov#序60000
心和	xbhedh#序60000
首当	uzdhbx#序60000
为家	wwjxdb#序60000
而人	errfap#序60000
愿我	yrwoip#序60000
宣武	xrwuba#序60000
和龙	helshu#序60000
穿穿	irirbb#序60000
退退	tvtvzz#序60000
半下	bjxxda#序60000
浑南	hynjdu#序60000
是圆	uiyrok#序60000
先听	xmtknk#序60000
湖街	hujpdi#序60000
五寸	wucyaa#序60000
天是	tmuiao#序60000
豪哥	hcgewa#序60000
豪哥	hcgewd#序60000
几几	jijipp#序60000
三套	sjtcad#序60000
不很	buhfai#序60000
丝瓜	sigxvp#序60000
侵害	qbhdrb#序60000
偏差	pmiary#序60000
分科	ffkebh#序60000
刚吃	ghiikk#序60000
图形	tuxkkk#序60000
天晴	tmqkao#序60000
安抚	anfubf#序60000
富强	fuqlbg#序60000
开播	kdboaf#序60000
形体	xktikr#序60000
很吵	hficik#序60000
报废	bcfwfg#序60000
拼了	pblefv#序60000
挑衅	tnxbfx#序60000
摔死	uksifd#序60000
本轮	bflyai#序60000
松动	ssdsme#序60000
水产	uvijll#序60000
水洗	uvxild#序60000
汇聚	hvjude#序60000
狗血	gzxtqp#序60000
甘蔗	gjveac#序60000
甘蔗	gjvenc#序60000
留存	lqcypu#序60000
白日	bdripk#序60000
相貌	xlmcmv#序60000
离谱	lipuwy#序60000
红花	hshxsc#序60000
细分	xiffsb#序60000
美学	mwxtyx#序60000
致命	vimkar#序60000
血战	xtvjpl#序60000
西域	xiyuat#序60000
跳着	tnvezy#序60000
飘扬	pnyhxf#序60000
鬼才	gvcdpa#序60000
中去	vsqult#序60000
款车	krieua#序60000
自立	zilipw#序60000
再谈	zdtjay#序60000
几口	jikzpl#序60000
才做	cdzoar#序60000
将开	jlkdda#序60000
咕噜	gulukk#序60000
米高	migcdw#序60000
才真	cdvfau#序60000
送完	sswjzb#序60000
秦风	qbfgfj#序60000
占座	vjzolg#序60000
肛交	ghjnow#序60000
哟哟	yoyokk#序60000
中提	vstilf#序60000
揭示	jpuife#序60000
集结	jijprs#序60000
满头	mjtzdd#序60000
期中	qivsql#序60000
记事	jiuiya#序60000
向那	xlnapv#序60000
解下	jpxxda#序60000
五谷	wuguab#序60000
立正	livgwa#序60000
不请	buqkay#序60000
试飞	uifwyv#序60000
元元	yryree#序60000
麦冬	mddsfw#序60000
永信	ysxbdr#序60000
大姑	daguun#序60000
这吧	vebazk#序60000
七公	qigsab#序60000
望江	whjlwd#序60000
种形	vsxkhk#序60000
与西	yuxiaa#序60000
前说	qmuoby#序60000
理是	liuiwo#序60000
别一	bpyika#序60000
从长	csvhrp#序60000
时发	uifaov#序60000
在到	zddcua#序60000
字有	ziyzbu#序60000
似火	uihord#序60000
丰城	fgigat#序60000
离火	lihowd#序60000
五有	wuyzau#序60000
小礼	xnlilp#序60000
降准	jlvyed#序60000
可冷	kelgdd#序60000
报过	bcgofz#序60000
凤九	fgjqjp#序60000
下风	xxfgaj#序60000
之门	vimfdd#序60000
交替	jntiwf#序60000
亮光	llglwx#序60000
仍旧	rgjqrl#序60000
傻笑	uaxnrv#序60000
光碟	gldpxu#序60000
冰冷	bklgdd#序60000
冲向	isxldp#序60000
凝望	nkwhdw#序60000
列出	lpiudv#序60000
剥离	boliew#序60000
动弹	dstjeg#序60000
听讲	tkjlky#序60000
大步	dabuuv#序60000
宴会	yjhvbr#序60000
开办	kdbjal#序60000
战火	vjhold#序60000
支柱	vivuum#序60000
朝下	icxxua#序60000
树梢	uuucmm#序60000
每股	mwgupo#序60000
灭火	mphoad#序60000
痴迷	iimibz#序60000
素养	suyhfy#序60000
路子	luzizv#序60000
躲过	dogouz#序60000
轩辕	xryrii#序60000
追寻	vvxyze#序60000
采摘	cdvdpf#序60000
重现	isxmpw#序60000
点卡	dmkalu#序60000
可到	kedcda#序60000
中他	vstalr#序60000
出大	iudavu#序60000
松江	ssjlmd#序60000
丢在	dqzdpu#序60000
高保	gcbcwr#序60000
蜀山	uuujsl#序60000
肇东	vcdsha#序60000
真名	vfmkux#序60000
等来	dgldva#序60000
任丘	rfqqrp#序60000
运通	yytszz#序60000
胞胎	bctdoo#序60000
和江	hejlhd#序60000
再分	zdffab#序60000
山不	ujbula#序60000
二公	ergsab#序60000
往高	whgciw#序60000
子给	zigwvs#序60000
刷出	uxiuuv#序60000
无言	wuyjaw#序60000
长者	vhvepl#序60000
刑拘	xkjukf#序60000
都起	dzqilt#序60000
提振	tivfff#序60000
谁你	uwniyr#序60000
腿都	tvdzol#序60000
名都	mkdzxl#序60000
原油	yryzid#序60000
并向	bkxlbp#序60000
幻影	hrykyo#序60000
她将	tajlnd#序60000
小资	xnzild#序60000
几道	jidcpz#序60000
按了	anlefv#序60000
开刀	kddcav#序60000
之爱	viaidp#序60000
小毛	xnmclp#序60000
小雅	xnyaly#序60000
秦王	qbwhfa#序60000
二名	ermkax#序60000
唉唉	aiaikk#序60000
而三	ersjaa#序60000
这像	vexlzr#序60000
文道	wfdcwz#序60000
不近	bujbaz#序60000
再请	zdqkay#序60000
乳燕	ruyjpn#序60000
永兴	ysxkdx#序60000
现一	xmyiwa#序60000
很平	hfpkia#序60000
着上	veuhyl#序60000
动都	dsdzel#序60000
户人	hurfdp#序60000
有同	yztsuk#序60000
带在	ddzdfu#序60000
反反	fjfjpp#序60000
海清	hdqkdd#序60000
快讲	kkjlxy#序60000
六首	lquzwb#序60000
前你	qmnibr#序60000
一唱	yiihak#序60000
有电	yzdmul#序60000
爱囚	aiqqpk#序60000
认不	rfbuya#序60000
笑换	xnhrvf#序60000
串儿	irerlp#序60000
还考	hdkczl#序60000
钓绳	dnugjs#序60000
主线	vuxmds#序60000
主编	vubmds#序60000
互通	hutsaz#序60000
任命	rfmkrr#序60000
关着	grveby#序60000
冲出	isiudv#序60000
吞噬	tyuitk#序60000
存活	cyhoud#序60000
廉价	lmjxgr#序60000
恰似	qxsixr#序60000
打伤	dauhfr#序60000
扣子	kzzifv#序60000
抽查	iziafm#序60000
按日	anrifk#序60000
推拿	tvnafr#序60000
推车	tviefa#序60000
更深	ggufad#序60000
梯子	tizimv#序60000
洁癖	jppidb#序60000
消停	xntkdr#序60000
激战	jivjdl#序60000
点滴	dmdild#序60000
皮毛	pimcvp#序60000
盐酸	yjsrty#序60000
眉头	mwtzvd#序60000
租用	zuyshk#序60000
童子	tszilv#序60000
苛刻	kekecw#序60000
蜂窝	fgwoib#序60000
野草	yecclc#序60000
风骚	fgscjm#序60000
飞上	fwuhvl#序60000
过渡	goduzd#序60000
不正	buvgaa#序60000
烈士	lpuidu#序60000
也最	yezvvo#序60000
本山	bfujal#序60000
乔治	qnviyd#序60000
单上	djuhbl#序60000
白衣	bdyipw#序60000
将获	jlhodc#序60000
双桥	ulqnym#序60000
看几	kjjiup#序60000
雏鹰	iuykdg#序60000
马特	matevn#序60000
路三	lusjza#序60000
我抓	wovxpf#序60000
给俺	gwansr#序60000
海西	hdxida#序60000
怕被	pabwxp#序60000
我躺	wothpu#序60000
会理	hvlirw#序60000
事务	uiwuaw#序60000
击中	jivsal#序60000
欣喜	xbxiju#序60000
一粒	yiliam#序60000
分部	ffbubl#序60000
体形	tixkrk#序60000
取笑	quxnev#序60000
一格	yigeam#序60000
孕期	yyqinq#序60000
知之	viviud#序60000
队里	dvliel#序60000
不嫌	buxman#序60000
漂移	pnyidh#序60000
红艳	hsyjsf#序60000
可心	kexbdd#序60000
倒映	dcykro#序60000
一哥	yigeaa#序60000
一哥	yigead#序60000
萍聚	pkjuce#序60000
极性	jixkmx#序60000
没进	mwjbdz#序60000
秦家	qbjxfb#序60000
然没	rjmwpd#序60000
有各	yzgeuw#序60000
度不	dubuga#序60000
人住	rfvupr#序60000
高我	gcwowp#序60000
把脚	bajnfo#序60000
兰溪	ljxibd#序60000
娟儿	jrernp#序60000
去铁	qutptj#序60000
在分	zdffub#序60000
心你	xbnidr#序60000
河桥	heqndm#序60000
我照	wovcpo#序60000
大是	dauiuo#序60000
九乘	jqigpq#序60000
我美	womwpy#序60000
那上	nauhvl#序60000
方特	fhtedn#序60000
不二	bueraa#序60000
借此	jpcirv#序60000
公用	gsysbk#序60000
办证	bjvgly#序60000
原告	yrgcin#序60000
叹气	tjqikp#序60000
同性	tsxkkx#序60000
堆积	dvjith#序60000
大意	dayiul#序60000
密保	mibcbr#序60000
屈原	quyrui#序60000
巨浪	julhkd#序60000
惊天	jktmxa#序60000
打磨	damofg#序60000
扫黄	schlfc#序60000
抓捕	vxbuff#序60000
抽屉	iztifu#序60000
月圆	ytyrkk#序60000
桂圆	gvyrmk#序60000
横着	hgvemy#序60000
橡胶	xljnmo#序60000
油灯	yzdgdh#序60000
海港	hdghdd#序60000
深水	ufuvdl#序60000
游艇	yztkdv#序60000
灯火	dghohd#序60000
爹爹	dpdpbb#序60000
白费	bdfwpf#序60000
盖住	gdvuyr#序60000
空地	ksdibt#序60000
精密	jkmimb#序60000
糖水	thuvml#序60000
脸蛋	lmdjov#序60000
行列	hhlpid#序60000
说亲	uoqbyl#序60000
责备	zebwfw#序60000
超载	iczdtu#序60000
跻身	jiufzp#序60000
送水	ssuvzl#序60000
酒席	jqxidg#序60000
金条	jbtnrw#序60000
隔阂	geheem#序60000
雷雨	lwyuya#序60000
黑马	hwmalv#序60000
和音	heybhl#序60000
上调	uhdnly#序60000
一闪	yiujam#序60000
巴彦	bayjsi#序60000
巴彦	bayjvi#序60000
到马	dcmaav#序60000
家村	jxcybm#序60000
转会	vrhvir#序60000
摆了	bdlefv#序60000
在汉	zdhjud#序60000
马尔	maervd#序60000
能成	ngigsw#序60000
在白	zdbdup#序60000
三军	sjjyab#序60000
青州	qkvzfd#序60000
我仍	worgpr#序60000
他留	talqrp#序60000
去叫	qujntk#序60000
快上	kkuhxl#序60000
人睡	rfuvpo#序60000
就装	jqvlwd#序60000
也送	yessvz#序60000
兰芳	ljfhbc#序60000
煮好	vuhcln#序60000
开下	kdxxaa#序60000
回首	hvuzkb#序60000
新机	xbjilm#序60000
乘机	igjiqm#序60000
不醒	buxkay#序60000
中发	vsfalv#序60000
共赢	gsykcw#序60000
电瓶	dmpklb#序60000
猪肝	vugjqo#序60000
影业	ykyeol#序60000
划着	hxvegy#序60000
唉哟	aiyokk#序60000
开复	kdfuap#序60000
围在	wwzdku#序60000
一念	yinmar#序60000
俩月	lxytrk#序60000
以大	yidavu#序60000
条小	tnxnwl#序60000
别发	bpfakv#序60000
被带	bwddpf#序60000
图是	tuuiko#序60000
网一	whyika#序60000
录录	luluee#序60000
春妮	iynifn#序60000
人电	rfdmpl#序60000
四好	sihckn#序60000
字都	zidzbl#序60000
欧巴	oubaks#序60000
欧巴	oubakv#序60000
网厅	whtkki#序60000
孟非	mgfwzl#序60000
药好	ychccn#序60000
播错	bocofj#序60000
能报	ngbcsf#序60000
东亚	dsyaaa#序60000
中指	vsvilf#序60000
出乎	iuhuvp#序60000
勤劳	qblcnc#序60000
包围	bcwwbk#序60000
印尼	ybnipu#序60000
呼喊	huhjkk#序60000
均可	jyketd#序60000
大喜	daxiuu#序60000
夸大	kxdadu#序60000
安生	anugbp#序60000
总台	zstdbs#序60000
才学	cdxtax#序60000
树皮	uupimv#序60000
沙龙	ualsdu#序60000
游轮	yzlydi#序60000
潜能	qmngds#序60000
疗法	lnfabd#序60000
盛会	ughvir#序60000
碰瓷	pgciud#序60000
祥瑞	xlrvpw#序60000
纤维	xmwwss#序60000
翻墙	fjqlpt#序60000
耗费	hcfwlf#序60000
薪资	xbzicd#序60000
衡山	hgujil#序60000
赘肉	vvrzfn#序60000
赛况	sdklbd#序60000
转过	vrgoiz#序60000
远近	yrjbzz#序60000
逼近	bijbzz#序60000
鱼肉	yurzdn#序60000
数千	uuqmmp#序60000
榜首	bhuzmb#序60000
天成	tmigaw#序60000
单产	djijbl#序60000
个村	gecyrm#序60000
魔域	moyugt#序60000
二审	erufab#序60000
龙之	lsviud#序60000
又转	yzvrvi#序60000
朝我	icwoup#序60000
开走	kdzzat#序60000
小孔	xnkslz#序60000
上外	uhwdlx#序60000
阿兰	aaljeb#序60000
下给	xxgwas#序60000
庄路	vllugz#序60000
滚了	gyledv#序60000
出单	iudjvb#序60000
学他	xttaxr#序60000
用棉	ysmmkm#序60000
扒开	bakdfa#序60000
也走	yezzvt#序60000
转进	vrjbiz#序60000
看两	kjllua#序60000
制成	viigpw#序60000
伤势	uhuirf#序60000
逃出	tciuzv#序60000
讲师	jluiyl#序60000
财物	cdwukn#序60000
主食	vuuidr#序60000
成像	igxlwr#序60000
祈求	qiqqpa#序60000
载人	zdrfup#序60000
珠子	vuziwv#序60000
她更	taggna#序60000
补肾	buufpl#序60000
枪战	qlvjml#序60000
两月	llytak#序60000
链子	lmzijv#序60000
大题	datiuo#序60000
白花	bdhxpc#序60000
摔到	ukdcfa#序60000
再审	zdufab#序60000
繁花	fjhxpc#序60000
面面	mmmmaa#序60000
鸡丁	jidkya#序60000
晓彤	xntsod#序60000
生他	ugtapr#序60000
可无	kewuda#序60000
去信	quxbtr#序60000
三叔	sjuuau#序60000
没花	mwhxdc#序60000
平洋	pkyhad#序60000
他任	tarfrr#序60000
对市	dvuiyw#序60000
信他	xbtarr#序60000
变青	bmqkwf#序60000
吵到	icdcka#序60000
二龙	erlsau#序60000
还再	hdzdza#序60000
就理	jqliww#序60000
哦呵	oohekk#序60000
石磊	uilwau#序60000
宋佳	ssjxbr#序60000
西屋	xiwuau#序60000
锈钢	xqghjj#序60000
五斤	wujbap#序60000
两斤	lljbap#序60000
人加	rfjxpl#序60000
咱先	zjxmkn#序60000
喷膜	pfmoko#序60000
丝绸	siizvs#序60000
之多	vidodx#序60000
命题	mktiro#序60000
品格	pbgekm#序60000
固执	guvikf#序60000
家规	jxgvbf#序60000
成型	igxkwk#序60000
挂帅	gxukfl#序60000
挺严	tkyjfy#序60000
推向	tvxlfp#序60000
数目	uumumk#序60000
敲响	qnxlwk#序60000
施展	uivjfu#序60000
机床	jiilmg#序60000
枪手	qluzmp#序60000
根源	gfyrmd#序60000
海马	hdmadv#序60000
灵气	lkqiep#序60000
烤箱	kcxlhv#序60000
稿件	gcjmhr#序60000
糕点	gcdmml#序60000
罚金	fajbsr#序60000
美腿	mwtvyo#序60000
美观	mwgryy#序60000
苍天	chtmca#序60000
血迹	xtjipz#序60000
训斥	xyiiyp#序60000
走好	zzhctn#序60000
随行	svxkei#序60000
高声	gcugwu#序60000
鸡毛	jimcyp#序60000
县级	xmjiqs#序60000
与之	yuviad#序60000
人比	rfbipb#序60000
家宝	jxbcbb#序60000
慈溪	cixibd#序60000
高桥	gcqnwm#序60000
与阿	yuaaae#序60000
还等	hddgzv#序60000
没搞	mwgcdf#序60000
白塔	bdtapt#序60000
变黄	bmhlwc#序60000
东平	dspkaa#序60000
果洛	golold#序60000
老杨	lcyhlm#序60000
从初	csiurp#序60000
和铁	hetphj#序60000
世人	uirfap#序60000
