---config@码表分类=主码-5
---config@允许编辑=是
---config@码表别名=系统词组
就是	jquiyr#序60000
快慰	kkwzxx#序60000
快问	kkwfxk#序60000
快问	kkwfxm#序60000
快网	kkwhxk#序60000
块五	kkwuta#序60000
快洗	kkxixd#序60000
快行	kkxkxi#序60000
快婿	kkxuxn#序60000
快赢	kkykxb#序60000
快赢	kkykxw#序60000
快赚	kkvrxb#序60000
快租	kkzuxh#序60000
狂按	kxanqf#序60000
狂按	kxanqt#序60000
狂霸	kxbaqy#序60000
旷班	kxbjrd#序60000
旷班	kxbjrw#序60000
狂兵	kxbkqq#序60000
矿层	kxcguu#序60000
旷代	kxddrr#序60000
狂帝	kxdiqd#序60000
狂帝	kxdiqj#序60000
狂帝	kxdiql#序60000
狂帝	kxdiqw#序60000
狂掉	kxdnqf#序60000
狂掉	kxdnqt#序60000
匡朵	kxdokj#序60000
匡朵	kxdokm#序60000
狂赌	kxduqb#序60000
狂灌	kxgrqd#序60000
旷古	kxguru#序60000
狂嗨	kxhdqk#序60000
狂汗	kxhjqd#序60000
旷会	kxhvrr#序60000
矿金	kxjlup#序60000
矿金	kxjlur#序60000
矿建	kxjmuz#序60000
狂阶	kxjpqe#序60000
匡救	kxjqkq#序60000
狂狷	kxjrqq#序60000
矿局	kxjuuu#序60000
矿卡	kxkaub#序60000
矿卡	kxkauu#序60000
旷考	kxkcrl#序60000
狂砍	kxkjqu#序60000
狂拉	kxlaqf#序60000
狂拉	kxlaqt#序60000
狂狼	kxlhqq#序60000
矿量	kxlxuo#序60000
矿量	kxlxur#序60000
狂恋	kxlmqx#序60000
狂恋	kxlmqy#序60000
狂练	kxlmqs#序60000
狂猎	kxlpqq#序60000
邝露	kxluey#序60000
狂雷	kxlzqy#序60000
狂迷	kxmiqz#序60000
矿棉	kxmmum#序60000
狂苗	kxmnqc#序60000
匡谬	kxmqky#序60000
狂年	kxnmqp#序60000
狂年	kxnmqr#序60000
狂女	kxnvqa#序60000
狂女	kxnvqv#序60000
狂拼	kxplqf#序60000
狂拼	kxplqt#序60000
矿跑	kxpcuz#序60000
狂喷	kxpfqk#序60000
诓骗	kxpmym#序60000
狂气	kxqiqp#序60000
狂气	kxqiqr#序60000
狂扫	kxscqf#序60000
狂扫	kxscqt#序60000
框丝	kxsima#序60000
框丝	kxsimh#序60000
狂三	kxsjqa#序60000
匡算	kxsrkv#序60000
狂铁	kxtpqj#序60000
狂杀	kxuaqi#序60000
狂杀	kxuaqm#序60000
矿砂	kxuauu#序60000
狂蛇	kxueqi#序60000
狂胜	kxugqy#序60000
狂甩	kxukqp#序60000
狂说	kxuoqy#序60000
狂鼠	kxuuqj#序60000
矿水	kxuvul#序60000
狂兽	kxubqb#序60000
匡正	kxvgka#序60000
旷职	kxvire#序60000
狂拽	kxvkqf#序60000
狂拽	kxvkqt#序60000
矿柱	kxvuum#序60000
狂抓	kxvwqf#序60000
狂抓	kxvwqt#序60000
狂吻	kxwfqk#序60000
况味	kxwzdk#序60000
框线	kxxmms#序60000
框选	kxxrmz#序60000
矿压	kxyaui#序60000
旷远	kxyrrz#序60000
矿院	kxyrue#序60000
狂涌	kxysqd#序60000
诳语	kxyuyy#序60000
矿油	kxybud#序60000
阔爱	koaimv#序60000
扩帮	kobhfj#序60000
扩帮	kobhtj#序60000
扩版	kobjfp#序60000
扩版	kobjtp#序60000
扩编	kobmfs#序60000
扩编	kobmts#序60000
阔步	kobumv#序60000
扩词	kocify#序60000
扩词	kocity#序60000
阔刀	kodcmg#序60000
阔刀	kodcmp#序60000
扩店	kodmfg#序60000
扩店	kodmtg#序60000
扩根	kogffm#序60000
扩根	kogftm#序60000
扩肛	koghfy#序60000
扩肛	koghty#序60000
扩管	kogrfv#序60000
扩管	kogrtv#序60000
扩初	koiufy#序60000
扩初	koiuty#序60000
扩及	kojifn#序60000
扩及	kojifp#序60000
扩及	kojitn#序60000
扩及	kojitp#序60000
阔脚	kojnmy#序60000
扩科	kokefh#序60000
扩科	koketh#序60000
扩孔	koksfz#序60000
扩孔	kokstz#序60000
扩口	kokbfl#序60000
扩口	kokbtl#序60000
阔佬	kolcmr#序60000
阔怜	kolmmx#序60000
廓落	kologc#序60000
扩列	kolpfd#序60000
扩列	kolptd#序60000
蛞蝼	kolbii#序60000
扩面	kommfa#序60000
扩面	kommta#序60000
阔耐	kondmc#序60000
阔能	kongms#序60000
阔怕	kopamx#序60000
扩频	koplfb#序60000
扩频	kopltb#序60000
廓清	koqkgd#序60000
扩圈	koqrfk#序60000
扩圈	koqrtk#序60000
阔人	korfmp#序60000
阔色	kosemd#序60000
扩损	kosyff#序60000
扩损	kosyft#序60000
扩损	kosytf#序60000
扩损	kosytt#序60000
阔太	kotdmd#序60000
扩瞳	kotsfm#序60000
扩瞳	kotstm#序60000
扩声	kougfu#序60000
扩声	kougtu#序60000
阔时	kouimr#序60000
阔睡	kouvmm#序60000
廓形	koxkgp#序60000
扩项	koxxfg#序60000
扩项	koxxfy#序60000
扩项	koxxtg#序60000
扩项	koxxty#序60000
扩销	koxnfj#序60000
扩销	koxntj#序60000
扩写	koxpfb#序60000
扩写	koxptb#序60000
扩眼	koyjfm#序60000
扩眼	koyjtm#序60000
蛞蝓	koyuii#序60000
扩租	kozufh#序60000
扩租	kozuth#序60000
款包	krbcqb#序60000
宽版	krbjbp#序60000
宽表	krbnbf#序60000
款步	krbuqv#序60000
宽的	krdebb#序60000
宽甸	krdmbb#序60000
款号	krhcqk#序60000
宽怀	krhkbx#序60000
宽绰	kriobs#序60000
宽肩	krjmbh#序60000
宽肩	krjmbo#序60000
宽肩	krjmby#序60000
款姐	krjpqn#序60000
髋臼	krjqgp#序60000
宽假	krjwbr#序60000
宽旷	krkxbr#序60000
款留	krlqql#序60000
款留	krlqqt#序60000
宽末	krmoba#序60000
宽频	krplbb#序60000
款期	krqiqq#序60000
款清	krqkqd#序60000
款曲	krquql#序60000
款洽	krqwqd#序60000
宽饶	krrcbu#序60000
宽仁	krrfbr#序60000
宽让	krrhby#序60000
款色	krseqd#序60000
款台	krtdqs#序60000
宽条	krtnbw#序60000
宽途	krtubz#序60000
宽腿	krtvby#序60000
宽赦	kruebi#序60000
宽赦	kruebw#序60000
宽扎	krvabf#序60000
宽扎	krvabt#序60000
款识	krviqy#序60000
款系	krxiqp#序60000
款爷	kryeqf#序60000
宽宥	krybbb#序60000
宽纵	krzsbs#序60000
恐艾	ksaixc#序60000
孔奥	ksaozp#序60000
空吧	ksbaxk#序60000
孔斌	ksblzw#序60000
孔板	ksbjzm#序60000
空表	ksbnxf#序60000
空仓	kschxr#序60000
倥偬	kszsrr#序60000
孔村	kscyzm#序60000
空岛	ksdcxp#序60000
空的	ksdexb#序60000
空额	kseexk#序60000
空耳	kserxa#序60000
空乏	ksfaxp#序60000
孔飞	ksfzzy#序60000
孔盖	ksgdzm#序60000
孔盖	ksgdzy#序60000
控干	ksgjfa#序60000
控干	ksgjta#序60000
控工	ksgsfa#序60000
控工	ksgsta#序60000
控购	ksgbfb#序60000
控购	ksgbtb#序60000
空耗	kshcxa#序60000
空行	ksxkxi#序60000
空怀	kshkxx#序60000
控货	kshofh#序60000
控货	kshoth#序60000
空幻	kshrxy#序60000
空户	kshuxd#序60000
控拆	ksidff#序60000
控拆	ksidft#序60000
控拆	ksidtf#序60000
控拆	ksidtt#序60000
孔晨	ksifzr#序60000
空蝉	ksijxi#序60000
空充	ksisxd#序60000
空充	ksisxe#序60000
空充	ksisxw#序60000
空寂	ksjixb#序60000
孔教	ksjnzx#序60000
空砍	kskjxu#序60000
空廓	kskoxg#序60000
控控	ksksff#序60000
控控	ksksft#序60000
控控	kskstf#序60000
控控	kskstt#序60000
空库	kskuxg#序60000
空啦	kslaxk#序60000
空冷	kslgxd#序60000
孔丽	ksliza#序60000
空蓝	ksljxc#序60000
空聊	kslnxe#序60000
空落	ksloxc#序60000
孔刘	kslqzd#序60000
孔刘	kslqzw#序60000
空滤	kslvxd#序60000
孔磊	kslzzu#序60000
空类	kslzxm#序60000
空论	kslyxy#序60000
空楼	kslbxm#序60000
空门	ksmfxd#序60000
孔敏	ksmlzw#序60000
控麦	ksmdff#序60000
控麦	ksmdtf#序60000
空么	ksmexp#序60000
空茫	ksmhxc#序60000
空母	ksmuxa#序60000
空母	ksmuxv#序60000
空没	ksmzxd#序60000
空囊	ksnhxa#序60000
孔宁	ksnkzb#序60000
控偶	ksoufr#序60000
控偶	ksoutr#序60000
空炮	kspcxh#序60000
孔鹏	kspgzp#序60000
孔胖	ksphzy#序60000
恐皮	kspixa#序60000
恐皮	kspixv#序60000
恐皮	kspixy#序60000
控盘	kspjfm#序60000
控盘	kspjfv#序60000
控盘	kspjtm#序60000
控盘	kspjtv#序60000
空片	kspmxp#序60000
空勤	ksqlxl#序60000
空切	ksqpxq#序60000
空日	ksrixo#序60000
空日	ksrixr#序60000
空日	ksrixa#序60000
空日	ksrixu#序60000
空嫂	ksscxn#序60000
孔塞	kssdzb#序60000
空色	kssexd#序60000
控死	kssifd#序60000
控死	kssitd#序60000
空松	ksssxm#序60000
孔塔	kstazt#序60000
控台	kstdfs#序60000
控台	kstdts#序60000
空堂	ksthxd#序60000
空堂	ksthxt#序60000
空堂	ksthxx#序60000
空提	kstixf#序60000
空提	kstixt#序60000
空庭	kstkxg#序60000
孔田	kstmza#序60000
孔田	kstmzu#序60000
空托	kstoxf#序60000
空托	kstoxt#序60000
空退	kstvxz#序60000
孔深	ksufzd#序60000
空伤	ksuhxr#序60000
孔数	ksuuzl#序60000
空疏	ksuuxa#序60000
空疏	ksuuxp#序60000
空疏	ksuuxv#序60000
空刷	ksuwxd#序60000
空斋	ksvdxw#序60000
空针	ksvfxj#序60000
空涨	ksvhxd#序60000
空账	ksvhxb#序60000
孔舟	ksvbzp#序60000
空亡	kswhxd#序60000
控销	ksxnfj#序60000
控销	ksxntj#序60000
控血	ksxtfp#序60000
控血	ksxttp#序60000
孔宣	ksxrzb#序60000
孔兄	ksxszk#序60000
空穴	ksxtxb#序60000
空压	ksyaxi#序60000
控窑	ksycfx#序60000
控窑	ksyctx#序60000
空言	ksyjxd#序60000
空言	ksyjxw#序60000
控员	ksyrfk#序60000
控员	ksyrtk#序60000
孔总	kszszb#序60000
酷安	kuanyb#序60000
酷本	kubfym#序60000
库班	kubjgd#序60000
库班	kubjgw#序60000
裤边	kubmyz#序60000
库表	kubngf#序60000
库博	kubogu#序60000
酷贝	kubzya#序60000
酷贝	kubzyk#序60000
酷贝	kubzyu#序60000
库藏	kuchgc#序60000
哭惨	kucjkx#序60000
哭惨	kucjqx#序60000
哭到	kudckv#序60000
哭到	kudcqv#序60000
哭的	kudekb#序60000
哭的	kudeqb#序60000
库底	kudigg#序60000
苦丁	kudkca#序60000
哭调	kudnky#序60000
哭调	kudnqy#序60000
苦短	kudrcu#序60000
库恩	kuengx#序60000
库发	kufaga#序60000
库发	kufagf#序60000
库发	kufagv#序60000
库发	kufagy#序60000
枯矾	kufjmu#序60000
库福	kufugu#序60000
酷飞	kufzyy#序60000
库昊	kuhcgr#序60000
枯涸	kuhemd#序60000
酷航	kuhhyv#序60000
哭红	kuhsks#序60000
哭红	kuhsqs#序60000
酷虎	kuhuyh#序60000
酷黑	kuhzyl#序60000
酷划	kuhwyd#序60000
酷划	kuhwyg#序60000
苦后	kuhbcp#序60000
苦差	kuidcy#序60000
库充	kuisgd#序60000
库充	kuisge#序60000
库充	kuisgw#序60000
裤抽	kuibyf#序60000
裤抽	kuibyt#序60000
苦尽	kujlci#序60000
酷匠	kujxyj#序60000
酷匠	kujxyk#序60000
库坑	kukggt#序60000
库款	kukrgq#序60000
苦口	kukbcl#序60000
哭啦	kulakk#序60000
哭啦	kulaqk#序60000
库龄	kulkgi#序60000
酷聊	kulnye#序60000
酷烈	kulpyd#序60000
酷烈	kulpyh#序60000
圐圙	kultkk#序60000
骷颅	kulugl#序60000
哭吗	kumakk#序60000
哭吗	kumaqk#序60000
哭毛	kumckp#序60000
哭毛	kumcqp#序60000
哭麦	kumdkf#序60000
哭麦	kumdqf#序60000
酷米	kumiyd#序60000
酷漫	kumjyd#序60000
酷喵	kumnyk#序60000
酷妹	kumzyn#序60000
库娜	kunagn#序60000
哭你	kunikr#序60000
哭你	kuniqr#序60000
库宁	kunkgb#序60000
酷鸟	kunnyp#序60000
酷牛	kunqyp#序60000
酷虐	kuntyh#序60000
酷屏	kupkyu#序60000
裤片	kupmyp#序60000
库佩	kupzgr#序60000
苦钱	kuqmcj#序60000
苦荞	kuqncc#序60000
苦囚	kuqqck#序60000
库容	kursgb#序60000
苦肉	kurbca#序60000
苦肉	kurbck#序60000
苦肉	kurbcu#序60000
哭死	kusikd#序60000
哭死	kusiqd#序60000
苦笋	kusycv#序60000
枯桃	kutcmm#序60000
酷特	kuteyn#序60000
酷听	kutkyk#序60000
哭啥	kuuakk#序60000
哭啥	kuuaqk#序60000
酷爽	kuuxyd#序60000
苦手	kuubcp#序60000
窟宅	kuvdxb#序60000
裤装	kuvxyy#序60000
哭完	kuwjkb#序60000
哭完	kuwjqb#序60000
酷我	kuwoyp#序60000
酷熊	kuxsyd#序60000
酷熊	kuxsyh#序60000
哭瞎	kuxwkm#序60000
哭瞎	kuxwqm#序60000
苦呀	kuyack#序60000
苦役	kuyici#序60000
哭咽	kuyjkk#序60000
哭咽	kuyjqk#序60000
枯月	kuytmo#序60000
枯月	kuytmy#序60000
枯月	kuytmp#序60000
哭晕	kuyykr#序60000
哭晕	kuyyqr#序60000
酷仔	kuzdyr#序60000
枯坐	kuzomr#序60000
枯坐	kuzomt#序60000
魁岸	kvangu#序60000
暌别	kvbprd#序60000
跬步	kvbuzv#序60000
亏舱	kvchav#序60000
亏舱	kvchev#序60000
亏舱	kvchhv#序60000
亏惨	kvcjax#序60000
亏惨	kvcjex#序60000
亏惨	kvcjhx#序60000
馈电	kvdmul#序60000
亏短	kvdrau#序60000
亏短	kvdreu#序60000
亏短	kvdrhu#序60000
揆度	kvdufg#序60000
揆度	kvdutg#序60000
亏吨	kvdyak#序60000
亏吨	kvdyek#序60000
亏吨	kvdyhk#序60000
魁斗	kvdbgd#序60000
奎恩	kvendx#序60000
葵芳	kvfhcc#序60000
亏负	kvfuad#序60000
亏负	kvfued#序60000
亏负	kvfuhd#序60000
亏过	kvgoaz#序60000
亏过	kvgoez#序60000
亏过	kvgohz#序60000
亏耗	kvhcaa#序60000
亏耗	kvhcea#序60000
亏耗	kvhcha#序60000
愧恨	kvhfxx#序60000
愧汗	kvhjxd#序60000
葵黄	kvhxca#序60000
奎湖	kvhudd#序60000
愧悔	kvhvxx#序60000
窥察	kviabb#序60000
亏秤	kvigah#序60000
亏秤	kvigeh#序60000
亏秤	kvighh#序60000
亏产	kvijal#序60000
亏产	kvijel#序60000
亏产	kvijhl#序60000
窥觊	kvjibj#序60000
葵姐	kvjpcn#序60000
奎克	kvkede#序60000
奎克	kvkedu#序60000
亏款	kvkraq#序60000
亏款	kvkreq#序60000
亏款	kvkrhq#序60000
亏库	kvkuag#序60000
亏库	kvkueg#序60000
亏库	kvkuhg#序60000
葵葵	kvkvcc#序60000
亏啦	kvlaak#序60000
亏啦	kvlaek#序60000
亏啦	kvlahk#序60000
喹啉	kvllkk#序60000
暌离	kvlird#序60000
暌离	kvlirw#序60000
愧领	kvlkxy#序60000
溃乱	kvlrdu#序60000
亏吗	kvmaak#序60000
亏吗	kvmaek#序60000
亏吗	kvmahk#序60000
亏猫	kvmcaq#序60000
亏猫	kvmceq#序60000
亏猫	kvmchq#序60000
夔门	kvmfbd#序60000
溃灭	kvmpda#序60000
夔牛	kvnqbp#序60000
溃脓	kvnsdy#序60000
窥屏	kvpkbu#序60000
窥破	kvpobu#序60000
匮缺	kvqtkf#序60000
亏去	kvquat#序60000
亏去	kvquet#序60000
亏去	kvquht#序60000
亏人	kvrfap#序60000
亏人	kvrfep#序60000
亏人	kvrfhp#序60000
岿然	kvrjud#序60000
岿然	kvrjuh#序60000
愧色	kvsexd#序60000
馈送	kvssuz#序60000
奎苏	kvsudc#序60000
溃逃	kvtcdz#序60000
愧痛	kvtsxb#序60000
蝰蛇	kvueii#序60000
奎山	kvujdl#序60000
魁首	kvubgb#序60000
亏折	kvveaf#序60000
亏折	kvveat#序60000
亏折	kvveef#序60000
亏折	kvveet#序60000
亏折	kvvehf#序60000
亏折	kvveht#序60000
窥知	kvvibk#序60000
窥知	kvvibu#序60000
亏赚	kvvrab#序60000
亏赚	kvvreb#序60000
亏赚	kvvrhb#序60000
夔州	kvvbbd#序60000
夔州	kvvbbi#序60000
奎文	kvwfdd#序60000
亏完	kvwjab#序60000
亏完	kvwjeb#序60000
亏完	kvwjhb#序60000
魁伟	kvwzgr#序60000
魁星	kvxkgr#序60000
馈线	kvxmus#序60000
亏虚	kvxuah#序60000
亏虚	kvxueh#序60000
亏虚	kvxuhh#序60000
奎爷	kvyedf#序60000
睽异	kvyimc#序60000
睽异	kvyims#序60000
亏盈	kvykam#序60000
亏盈	kvykem#序60000
亏盈	kvykhm#序60000
葵油	kvybcd#序60000
盔子	kvzima#序60000
盔子	kvzimv#序60000
愧怍	kvzoxx#序60000
奎总	kvzsdb#序60000
夸白	kwbddp#序60000
跨版	kwbjzp#序60000
跨仓	kwchzr#序60000
跨带	kwddzj#序60000
胯裆	kwdhyy#序60000
夸诞	kwdjdy#序60000
跨河	kwhezd#序60000
跨考	kwkczl#序60000
垮裤	kwkuty#序60000
跨六	kwlqzd#序60000
跨六	kwlqzw#序60000
跨膜	kwmozy#序60000
跨排	kwpdzf#序60000
跨排	kwpdzt#序60000
跨骑	kwqizm#序60000
跨三	kwsjza#序60000
跨塘	kwthzt#序60000
夸脱	kwtody#序60000
跨站	kwvjzl#序60000
跨装	kwvxzy#序60000
夸完	kwwjdb#序60000
跨五	kwwuza#序60000
跨线	kwxmzs#序60000
跨校	kwxnzm#序60000
跨页	kwyeza#序60000
跨院	kwyrze#序60000
夸嘴	kwzvdk#序60000
困啊	kyaakk#序60000
坤包	kybctb#序60000
捆包	kybcfb#序60000
捆包	kybctb#序60000
困毙	kybikb#序60000
坤表	kybntf#序60000
困惫	kybzkx#序60000
坤达	kydatz#序60000
昆都	kydbrv#序60000
困厄	kyeeki#序60000
捆缚	kyfufs#序60000
捆缚	kyfuts#序60000
困高	kygckd#序60000
困高	kygckw#序60000
昆钢	kyghrj#序60000
昆工	kygsra#序60000
坤和	kyheth#序60000
坤辉	kyhvtg#序60000
昆华	kyhwru#序60000
昆船	kyirrv#序60000
困劲	kyjlkl#序60000
昆季	kyjirh#序60000
坤姐	kyjptn#序60000
坤角	kyjntd#序60000
昆卡	kykarb#序60000
昆卡	kykaru#序60000
坤坤	kykytt#序60000
困龙	kylska#序60000
困龙	kylskh#序60000
困吗	kymakk#序60000
困么	kymekp#序60000
昆弥	kymirg#序60000
昆曼	kymjrr#序60000
困哪	kynakk#序60000
困恼	kynckx#序60000
坤宁	kynktb#序60000
昆腔	kyqxry#序60000
鲲湫	kyjnyd#序60000
昆区	kyqurk#序60000
坤孙	kysytz#序60000
鲲套	kytcyd#序60000
昆泰	kytdrf#序60000
昆泰	kytdru#序60000
昆特	kytern#序60000
昆腾	kytgry#序60000
捆蹄	kytifz#序60000
捆蹄	kytitz#序60000
捆条	kytnfw#序60000
捆条	kytntw#序60000
坤沙	kyuatd#序60000
坤少	kyuctx#序60000
坤盛	kyugtm#序60000
困屎	kyuiku#序60000
坤叔	kyuuty#序60000
困守	kyubkb#序60000
坤宅	kyvdtb#序60000
昆仲	kyvsrr#序60000
坤文	kywftd#序60000
昆吾	kywurk#序60000
昆吾	kywurw#序60000
困醒	kyxkky#序60000
昆虚	kyxurh#序60000
坤音	kyyltl#序60000
昆药	kyycrc#序60000
坤爷	kyyetf#序60000
坤元	kyyrta#序60000
坤元	kyyrte#序60000
坤元	kyyrth#序60000
坤造	kyzctz#序60000
捆子	kyzifa#序60000
捆子	kyzifv#序60000
捆子	kyzita#序60000
捆子	kyzitv#序60000
口爱	kbailv#序60000
扣吧	kbbafk#序60000
扣吧	kbbatk#序60000
口暴	kbbclr#序60000
抠鼻	kbbifz#序60000
抠鼻	kbbitz#序60000
扣边	kbbmfz#序60000
扣边	kbbmtz#序60000
口部	kbbull#序60000
扣错	kbcofj#序60000
扣错	kbcotj#序60000
叩打	kbdakf#序60000
叩打	kbdakt#序60000
寇岛	kbdcbp#序60000
扣抵	kbdiff#序60000
扣抵	kbdift#序60000
扣抵	kbditf#序60000
扣抵	kbditt#序60000
叩访	kbfhky#序60000
扣盖	kbgdfm#序60000
扣盖	kbgdfy#序60000
扣盖	kbgdtm#序60000
扣盖	kbgdty#序60000
扣关	kbgrfb#序60000
扣关	kbgrtb#序60000
口嗨	kbhdlk#序60000
口含	kbhjlk#序60000
口含	kbhjlr#序60000
扣环	kbhrfw#序60000
扣环	kbhrtw#序60000
口胡	kbhulo#序60000
口胡	kbhuly#序60000
叩阍	kbhykm#序60000
寇晨	kbifbr#序60000
口唇	kbiyli#序60000
口唇	kbiylk#序60000
扣将	kbjxfd#序60000
扣将	kbjxfj#序60000
扣将	kbjxfp#序60000
扣将	kbjxtd#序60000
扣将	kbjxtj#序60000
扣将	kbjxtp#序60000
抠脚	kbjnfy#序60000
抠脚	kbjnty#序60000
寇姐	kbjpbn#序60000
扣具	kbjufl#序60000
扣具	kbjutl#序60000
扣卡	kbkafb#序60000
扣卡	kbkafu#序60000
扣卡	kbkatb#序60000
扣卡	kbkatu#序60000
口怜	kblmlx#序60000
扣率	kblvfd#序60000
扣率	kblvfw#序60000
扣率	kblvtd#序60000
扣率	kblvtw#序60000
寇磊	kblzbu#序60000
眍䁖	kblb#序60000
扣吗	kbmafk#序60000
扣吗	kbmatk#序60000
芤脉	kbmdcy#序60000
口面	kbmmla#序60000
口模	kbmolm#序60000
口耐	kbndlc#序60000
扣女	kbnvfa#序60000
扣女	kbnvfv#序60000
扣女	kbnvta#序60000
扣女	kbnvtv#序60000
口怕	kbpalx#序60000
口喷	kbpflk#序60000
口癖	kbpilb#序60000
口轻	kbqkli#序60000
口泉	kbqrlb#序60000
口软	kbrrli#序60000
口塞	kbsdlb#序60000
扣死	kbsifd#序60000
扣死	kbsitd#序60000
抠唆	kbsofk#序60000
抠唆	kbsotk#序60000
扣损	kbsyff#序60000
扣损	kbsyft#序60000
扣损	kbsytf#序60000
扣损	kbsytt#序60000
扣他	kbtafr#序60000
扣他	kbtatr#序60000
扣烫	kbthfh#序60000
扣烫	kbthth#序60000
扣题	kbtifu#序60000
扣题	kbtitu#序60000
口谈	kbtjly#序60000
口甜	kbtmlu#序60000
扣条	kbtnfw#序60000
扣条	kbtntw#序60000
叩痛	kbtskb#序60000
口寨	kbvdlb#序60000
叩诊	kbvfky#序60000
扣账	kbvhfb#序60000
扣账	kbvhtb#序60000
口直	kbvila#序60000
口直	kbvilh#序60000
口直	kbvilu#序60000
寇庄	kbvxbg#序60000
口拙	kbvolf#序60000
口拙	kbvolt#序60000
扣完	kbwjfb#序60000
扣完	kbwjtb#序60000
扣线	kbxmfs#序60000
扣线	kbxmts#序60000
叩谢	kbxpky#序60000
扣血	kbxtfp#序60000
扣血	kbxttp#序60000
口业	kbyell#序60000
口燥	kbzclh#序60000
扣走	kbzbft#序60000
扣走	kbzbtt#序60000
拉埃	laaift#序60000
拉埃	laaitt#序60000
拉宾	lablfb#序60000
拉宾	labltb#序60000
拉堡	labcft#序60000
拉堡	labctt#序60000
蜡白	labdip#序60000
拉邦	labhfe#序60000
拉邦	labhff#序60000
拉邦	labhte#序60000
拉邦	labhtf#序60000
拉板	labjfm#序60000
拉板	labjtm#序60000
拉边	labmfz#序60000
拉边	labmtz#序60000
拉镖	labnfj#序60000
拉镖	labntj#序60000
拉槽	laccfm#序60000
拉槽	lacctm#序60000
辣的	ladelb#序60000
拉单	ladjfb#序60000
拉单	ladjtb#序60000
拉都	ladbfv#序60000
拉都	ladbtv#序60000
拉恩	laenfx#序60000
拉恩	laentx#序60000
拉缸	laghff#序60000
拉缸	laghtf#序60000
拉怪	lagkfx#序60000
拉怪	lagktx#序60000
拉贡	lagsfg#序60000
拉贡	lagstg#序60000
拉柜	lagvfm#序60000
拉柜	lagvtm#序60000
拉簧	lahxfv#序60000
拉簧	lahxtv#序60000
拉轰	lahsfi#序60000
拉轰	lahsti#序60000
拉忽	lahufx#序60000
拉忽	lahutx#序60000
拉祜	lahufu#序60000
拉祜	lahutu#序60000
拉碴	laiafu#序60000
拉碴	laiatu#序60000
拉茶	laiafc#序60000
拉茶	laiatc#序60000
辣炒	laiclh#序60000
拉馋	laijfu#序60000
拉馋	laijtu#序60000
拉床	laixfg#序60000
拉床	laixfm#序60000
拉床	laixtg#序60000
拉床	laixtm#序60000
拉吹	laivfk#序60000
拉吹	laivtk#序60000
拉臭	laibfz#序60000
拉臭	laibtz#序60000
拉件	lajmfr#序60000
拉件	lajmtr#序60000
拉结	lajpfs#序60000
拉结	lajpts#序60000
蜡块	lakkit#序60000
拉宽	lakrfb#序60000
拉宽	lakrtb#序60000
拉扣	lakbff#序60000
拉扣	lakbft#序60000
拉扣	lakbtf#序60000
拉扣	lakbtt#序60000
拉林	lallfm#序60000
拉林	lalltm#序60000
拉郎	lalhfe#序60000
拉郎	lalhte#序60000
拉篮	laljfv#序60000
拉篮	laljtv#序60000
拉铃	lalkfj#序60000
拉铃	lalktj#序60000
拉梁	lalxfm#序60000
拉梁	lalxtm#序60000
拉裂	lalpfy#序60000
拉裂	lalpty#序60000
拉流	lalqfd#序60000
拉流	lalqtd#序60000
辣卤	lalull#序60000
蜡泪	lalzid#序60000
辣么	lamelp#序60000
辣妞	lanqln#序60000
拉牌	lapdfp#序60000
拉牌	lapdtp#序60000
拉盘	lapjfm#序60000
拉盘	lapjfv#序60000
拉盘	lapjtm#序60000
拉盘	lapjtv#序60000
拉破	lapofu#序60000
拉破	lapotu#序60000
拉胚	lapzfy#序60000
拉胚	lapzty#序60000
拉纤	laqmfs#序60000
拉纤	laqmts#序60000
拉球	laqqfw#序60000
拉球	laqqtw#序60000
拉圈	laqrfk#序60000
拉圈	laqrtk#序60000
拉取	laqufe#序60000
拉取	laqufy#序60000
拉取	laqute#序60000
拉取	laquty#序60000
拉群	laqyfy#序60000
拉群	laqyty#序60000
蜡人	larfip#序60000
腊日	lariyo#序60000
腊日	lariyr#序60000
腊日	lariya#序60000
腊日	lariyu#序60000
拉绒	larsfs#序60000
拉绒	larsts#序60000
拉套	latcfd#序60000
拉套	latctd#序60000
蜡台	latdis#序60000
拉缇	latifs#序60000
拉缇	latits#序60000
拉条	latnfw#序60000
拉条	latntw#序60000
拉脱	latofy#序60000
拉脱	latoty#序60000
拉通	latsfz#序60000
拉通	latstz#序60000
腊山	laujyl#序60000
拉叔	lauufy#序60000
拉叔	lauuty#序60000
拉谁	lauvfy#序60000
拉谁	lauvty#序60000
蜡刷	lauwid#序60000
拉珍	lavffw#序60000
拉珍	lavftw#序60000
拉账	lavhfb#序60000
拉账	lavhtb#序60000
拉砖	lavrfu#序60000
拉砖	lavrtu#序60000
拉瓦	lawafa#序60000
拉瓦	lawata#序60000
拉文	lawffd#序60000
拉文	lawftd#序60000
蜡丸	lawjip#序60000
拉新	laxlfq#序60000
拉新	laxltq#序60000
蜡型	laxkit#序60000
拉销	laxnfj#序60000
拉销	laxntj#序60000
拉血	laxtfp#序60000
拉血	laxttp#序60000
拉修	laxqfr#序60000
拉修	laxqtr#序60000
拉亚	layafa#序60000
拉亚	layata#序60000
拉秧	layhfh#序60000
拉秧	layhth#序60000
拉伊	layifr#序60000
拉伊	layitr#序60000
拉延	layjfz#序60000
拉延	layjtz#序60000
拉杂	lazafj#序60000
拉杂	lazafm#序60000
